food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,Serving size G,Serving size min,Serving Size Max,Serving size confidence,Serving size min
INDWEBX_00121,Sev tameta,Sev tameta,Mixed meals,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.7,120
INDWEBX_00122,Undhiyu,Undhiyu,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00123,Kharabath,Kharabath,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00124,Mangalore buns,Mangalore buns,Mixed meals,,,,,,73,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.78,11.78,Medium,0.5,16.13,Class=other. Proxy-mapped to validated source 'Chikku' (food_id=IND_HENRY2021_610); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00125,Avial,Avial,Mixed meals,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00126,Kadala curry,Kadala curry,Mixed meals,,,,,,92,Henry et al. GI tables (non-Indian cohort),43.18,43.18,43.18,High,0.5,46.93,Class=other. Proxy-mapped to validated source 'Chicken Curry Puff' (food_id=NONIND_0007); score=0.25; tier=low. Converted from source serving_size_g=150g.,150,120,180,0.7,120
INDWEBX_00127,Malabar parotta,Malabar parotta,Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00128,Olan,Olan,Mixed meals,,,,,,10,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #566",1.69,1.69,1.69,Low,0.5,16.89,Class=other. Proxy-mapped to validated source 'Quick Cooking White Basmati Cooked' (food_id=T1_0566); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00129,Stew (veg),Stew (veg),Mixed meals,,,,,,41.5,Proxy GI anchor: cooked pasta from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,3.32,3.32,3.32,Low,0.47,8,Class=other. Proxy-mapped to validated source 'Lasagna Veg' (food_id=WEST_IN_0206); score=0.33; tier=low. Converted from source serving_size_g=250g.,151,106,196,0.6,106
INDWEBX_00130,Thoran,Thoran,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00131,Pithla,Pithla,Mixed meals,,,,,,73,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.78,11.78,Medium,0.5,16.13,Class=other. Proxy-mapped to validated source 'Chikku' (food_id=IND_HENRY2021_610); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00132,Thalipeeth,Thalipeeth,Mixed meals,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00133,Zunka,Zunka,Mixed meals,,,,,,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #543",30.68,30.68,30.68,High,0.5,52,Class=other. Proxy-mapped to validated source 'Red Raw Rice Sri Lankan Cooked in Rice Cooker' (food_id=T1_0543); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,154,123,185,0.8,123
INDWEBX_00134,Dalma,Dalma,Mixed meals,,,,,,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #543",30.68,30.68,30.68,High,0.5,52,Class=other. Proxy-mapped to validated source 'Red Raw Rice Sri Lankan Cooked in Rice Cooker' (food_id=T1_0543); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,154,123,185,0.8,123
INDWEBX_00135,Pakhala bhata,Pakhala bhata,Mixed meals,,,,,,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #831",2.56,2.56,2.56,Low,0.5,6.4,Class=other. Proxy-mapped to validated source 'Vanilla Made from Powder and Whole Milk' (food_id=T1_0831); score=0.00; tier=prototype. Converted from source serving_size_g=250g.,151,106,196,0.6,106
INDWEBX_00136,Santula,Santula,Mixed meals,,,,,,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #543",30.68,30.68,30.68,High,0.5,52,Class=other. Proxy-mapped to validated source 'Red Raw Rice Sri Lankan Cooked in Rice Cooker' (food_id=T1_0543); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,154,123,185,0.8,123
INDWEBX_00137,Amritsari kulcha,Amritsari kulcha,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1780",41.74,41.74,41.74,High,0.5,86.97,Class=bread. Proxy-mapped to validated source 'Chapati Barley' (food_id=T1_1780); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,25,20,30,0.75,20
INDWEBX_00138,Lassi (punjabi),Lassi (punjabi),Mixed meals,,,,,,36,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #862",1.56,1.56,1.56,Low,0.5,4.33,Class=beverage. Proxy-mapped to validated source 'Yoghurt Summer Fruit Strawberry' (food_id=T1_0862); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,160,113,207,0.6,113
INDWEBX_00139,Makki di roti,Makki di roti,Mixed meals,,,,,,72,Henry et al. GI tables (non-Indian cohort),22.66,22.66,22.66,High,0.48,31.47,Class=bread. Proxy-mapped to validated source 'Jam and Peanutbuttertoast' (food_id=NONIND_0523); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,47,35,59,0.75,35
INDWEBX_00140,Bajre ki roti,Bajre ki roti,Mixed meals,,,,,,59,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1781",41.65,41.65,41.65,High,0.5,70.6,Class=bread. Proxy-mapped to validated source 'Chapati Maize' (food_id=T1_1781); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,37,28,46,0.75,28
INDWEBX_00141,Dal baati churma,Dal baati churma,Mixed meals,,,,,,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #831",2.56,2.56,2.56,Low,0.5,6.4,Class=other. Proxy-mapped to validated source 'Vanilla Made from Powder and Whole Milk' (food_id=T1_0831); score=0.00; tier=prototype. Converted from source serving_size_g=250g.,150,105,195,0.6,105
INDWEBX_00142,Gatte ki sabzi,Gatte ki sabzi,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00143,Ker sangri,Ker sangri,Mixed meals,,,,,,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #831",2.56,2.56,2.56,Low,0.5,6.4,Class=other. Proxy-mapped to validated source 'Vanilla Made from Powder and Whole Milk' (food_id=T1_0831); score=0.00; tier=prototype. Converted from source serving_size_g=250g.,151,106,196,0.6,106
INDWEBX_00144,Chettinad chicken,Chettinad chicken,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Chicken Nuggets' (food_id=WEST_IN_0224); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,108,199,0.6,108
INDWEBX_00145,Kootu,Kootu,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00146,Kuzhambu,Kuzhambu,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00147,Poriyal,Poriyal,Mixed meals,,,,,,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #831",2.56,2.56,2.56,Low,0.5,6.4,Class=other. Proxy-mapped to validated source 'Vanilla Made from Powder and Whole Milk' (food_id=T1_0831); score=0.00; tier=prototype. Converted from source serving_size_g=250g.,151,106,196,0.6,106
INDWEBX_00148,Bedmi poori,Bedmi poori,Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00149,Kebabs (seekh),Kebabs (seekh),Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'White Rice Served with Chicken Breast' (food_id=NONIND_0011); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",160,127,192,0.75,127
INDWEBX_00150,Sheermal,Sheermal,Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00151,Tehri,Tehri,Mixed meals,,,,,,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",19.39,19.39,19.39,Medium,0.5,34.75,Class=other. Proxy-mapped to validated source 'Dosa' (food_id=IND_HENRY2021_688); score=0.00; tier=prototype. Converted from source serving_size_g=120g.,160,113,208,0.6,113
INDWEBX_00152,Ambur biryani,Ambur biryani,Grains & staples,,,,,,52,Henry et al. GI tables (non-Indian cohort),4.1,4.1,4.1,Low,0.62,7.88,Class=rice. Proxy-mapped to validated source 'Biryani' (food_id=NONIND_0738); score=0.58; tier=medium. Converted from source serving_size_g=250g.,186,149,223,0.75,149
INDWEBX_00153,Chicken pulao,Chicken pulao,Grains & staples,,,,,,69.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: cooked white rice from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,9.45,9.45,9.45,Low,0.43,13.64,Class=protein. Proxy-mapped to validated source 'Burrito Chicken' (food_id=WEST_IN_0185); score=0.41; tier=low. Converted from source serving_size_g=220g.,172,123,222,0.6,123
INDWEBX_00154,Dalia khichdi,Dalia khichdi,Grains & staples,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=rice. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,155,124,185,0.75,124
INDWEBX_00155,Egg biryani,Egg biryani,Grains & staples,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,10.26,10.26,10.26,Medium,0.44,14.44,Class=protein. Proxy-mapped to validated source 'Burger Egg' (food_id=WEST_IN_0114); score=0.41; tier=low. Converted from source serving_size_g=180g.,180,146,215,0.7,146
INDWEBX_00156,Fish biryani,Fish biryani,Grains & staples,,,,,,69,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,6.9,6.9,6.9,Low,0.45,10,Class=protein. Proxy-mapped to validated source 'Fish Fingers' (food_id=WEST_IN_0227); score=0.41; tier=low. Converted from source serving_size_g=150g.,171,137,206,0.7,137
INDWEBX_00157,Ghee rice,Ghee rice,Grains & staples,,,,,,87.5,Henry et al. GI tables (non-Indian cohort),12.83,12.83,12.83,Medium,0.5,14.67,Class=rice. Proxy-mapped to validated source 'Japonica Rice' (food_id=NONIND_0261); score=0.41; tier=low. Converted from source serving_size_g=150g.,150,121,180,0.85,121
INDWEBX_00158,Jeera pulao,Jeera pulao,Grains & staples,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=rice. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,163,131,195,0.8,131
INDWEBX_00159,Khichdi (masala),Khichdi (masala),Grains & staples,,,,,,35,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants NutritionandDiabetes Henryetal.NutritionandDiabetes (2021) 11:2 Page23of36 Reference Country Fooditem GI(glucose=100) Servingsize(g)perexperimental AvailableCHO Participants Reference portionsize (g)per (typeand foodand experimental number) timeperiod portion Mean SEM; portion 50 g provides 10 g available carbs (table page 22).",3.89,3.89,3.89,Low,0.63,11.11,Class=rice. Proxy-mapped to validated source 'Khichdi' (food_id=IND_HENRY2021_663); score=0.58; tier=medium. Converted from source serving_size_g=180g.,159,127,190,0.7,127
INDWEBX_00160,Kolkata biryani,Kolkata biryani,Grains & staples,,,,,,66,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #579",12.61,12.61,12.61,Medium,0.5,19.11,Class=rice. Proxy-mapped to validated source 'Milled High Amylose Rice' (food_id=T1_0579); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,176,141,211,0.8,141
INDWEBX_00161,Lucknowi biryani,Lucknowi biryani,Grains & staples,,,,,,12,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #526",2.08,2.08,2.08,Low,0.5,17.33,Class=rice. Proxy-mapped to validated source 'Medium Grain White Rice Boiled' (food_id=T1_0526); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,176,141,211,0.8,141
INDWEBX_00162,Mutton biryani,Mutton biryani,Grains & staples,,,,,,79,Henry et al. GI tables (non-Indian cohort),20.43,20.43,20.43,High,0.48,25.87,Class=protein. Proxy-mapped to validated source 'Fish Snacks with Chilli Sauce' (food_id=NONIND_0115); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,171,137,205,0.7,137
INDWEBX_00163,Mutton pulao,Mutton pulao,Grains & staples,,,,,,73,Henry et al. GI tables (non-Indian cohort),12.56,12.56,12.56,Medium,0.48,17.2,Class=protein. Proxy-mapped to validated source 'White Rice Served with Chicken Breast' (food_id=NONIND_0011); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,166,133,199,0.75,133
INDWEBX_00164,Palak khichdi,Palak khichdi,Grains & staples,,,,,,35,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants NutritionandDiabetes Henryetal.NutritionandDiabetes (2021) 11:2 Page23of36 Reference Country Fooditem GI(glucose=100) Servingsize(g)perexperimental AvailableCHO Participants Reference portionsize (g)per (typeand foodand experimental number) timeperiod portion Mean SEM; portion 50 g provides 10 g available carbs (table page 22).",3.89,3.89,3.89,Low,0.63,11.11,Class=rice. Proxy-mapped to validated source 'Khichdi' (food_id=IND_HENRY2021_663); score=0.58; tier=medium. Converted from source serving_size_g=180g.,162,130,194,0.7,130
INDWEBX_00165,Paneer pulao,Paneer pulao,Grains & staples,,,,,,62.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 23).",8.33,8.33,8.33,Low,0.5,13.33,Class=rice. Proxy-mapped to validated source 'Rice Khichdi' (food_id=IND_HENRY2021_664); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,172,138,207,0.8,138
INDWEBX_00166,Peas pulao,Peas pulao,Grains & staples,,,,,,91,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #729",50.96,50.96,50.96,High,0.5,56,Class=rice. Proxy-mapped to validated source 'Rice Cake Calrose Rice' (food_id=T1_0729); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,166,133,199,0.8,133
INDWEBX_00167,Pongal (sweet),Pongal (sweet),Grains & staples,,,,,,89,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #538",16.61,16.61,16.61,Medium,0.5,18.67,Class=rice. Proxy-mapped to validated source 'Jasmine Fragrant Rice White' (food_id=T1_0538); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00168,Pongal (ven),Pongal (ven),Grains & staples,,,,,,62.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 23).",8.33,8.33,8.33,Low,0.5,13.33,Class=rice. Proxy-mapped to validated source 'Rice Khichdi' (food_id=IND_HENRY2021_664); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,154,123,184,0.75,123
INDWEBX_00169,Sabudana khichdi,Sabudana khichdi,Grains & staples,,,,,,35,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants NutritionandDiabetes Henryetal.NutritionandDiabetes (2021) 11:2 Page23of36 Reference Country Fooditem GI(glucose=100) Servingsize(g)perexperimental AvailableCHO Participants Reference portionsize (g)per (typeand foodand experimental number) timeperiod portion Mean SEM; portion 50 g provides 10 g available carbs (table page 22).",3.89,3.89,3.89,Low,0.63,11.11,Class=rice. Proxy-mapped to validated source 'Khichdi' (food_id=IND_HENRY2021_663); score=0.58; tier=medium. Converted from source serving_size_g=180g.,162,130,194,0.7,130
INDWEBX_00170,Sindhi biryani,Sindhi biryani,Grains & staples,,,,,,90,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #525",23.2,23.2,23.2,High,0.5,25.78,Class=rice. Proxy-mapped to validated source 'Long Grain White Rice in' (food_id=T1_0525); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,176,141,211,0.8,141
INDWEBX_00171,Vangi bath,Vangi bath,Grains & staples,,,,,,62.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 23).",8.33,8.33,8.33,Low,0.5,13.33,Class=rice. Proxy-mapped to validated source 'Rice Khichdi' (food_id=IND_HENRY2021_664); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,154,124,184,0.8,124
INDWEBX_00172,Vegetable pulao,Vegetable pulao,Grains & staples,,,,,,12,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #526",2.08,2.08,2.08,Low,0.5,17.33,Class=rice. Proxy-mapped to validated source 'Medium Grain White Rice Boiled' (food_id=T1_0526); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,168,135,201,0.8,135
INDWEBX_00173,Egg chowmein,Egg chowmein,Snacks,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Panini Egg' (food_id=WEST_IN_0158); score=0.41; tier=low. Converted from source serving_size_g=200g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",159,114,205,0.6,114
INDWEBX_00174,Fried rice (veg),Fried rice (veg),Snacks,,,,,,41,Henry et al. GI tables (non-Indian cohort),4.35,4.35,4.35,Low,0.62,10.6,Class=rice. Proxy-mapped to validated source 'Fried Par Boiled Rice' (food_id=NONIND_0107); score=0.63; tier=medium. Converted from source serving_size_g=150g.,167,133,200,0.8,133
INDWEBX_00175,Momos (veg fried),Momos (veg fried),Snacks,,,,,,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.43,18.67,Class=snack. Proxy-mapped to validated source 'Pizza Veg' (food_id=WEST_IN_0093); score=0.25; tier=low. Converted from source serving_size_g=150g.,26,16,36,0.6,16
INDWEBX_00176,Spring roll (veg),Spring roll (veg),Snacks,,,,,,70.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,15.51,15.51,15.51,Medium,0.45,22,Class=snack. Proxy-mapped to validated source 'And Wich Veg' (food_id=WEST_IN_0183); score=0.20; tier=low. Converted from source serving_size_g=150g.,26,16,36,0.55,16
INDWEBX_00177,Veg chowmein,Veg chowmein,Snacks,,,,,,70.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.75,11.75,11.75,Medium,0.44,16.67,Class=snack. Proxy-mapped to validated source 'Burger Spicy Veg' (food_id=WEST_IN_0123); score=0.25; tier=low. Converted from source serving_size_g=180g.,26,16,36,0.6,16
INDWEBX_00178,Aloo tikki chaat,Aloo tikki chaat,Snacks,,,,,,71,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.83,11.83,11.83,Medium,0.52,16.67,Class=snack. Proxy-mapped to validated source 'Burger Aloo Tikki' (food_id=WEST_IN_0099); score=0.50; tier=medium. Converted from source serving_size_g=180g.,26,16,36,0.6,16
INDWEBX_00179,Bajji (banana),Bajji (banana),Snacks,,,,,,57,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 75 g provides 50 g available carbs (table page 22).",25.35,25.35,25.35,High,0.5,44.47,Class=snack. Proxy-mapped to validated source 'Wheatbiscuits' (food_id=IND_HENRY2021_662); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,89,69,109,0.7,69
INDWEBX_00180,Bajji (onion),Bajji (onion),Snacks,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=snack. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,74,55,92,0.7,55
INDWEBX_00181,Bajji (potato),Bajji (potato),Snacks,,,,,,12,Henry et al. GI tables (non-Indian cohort),8,8,8,Low,0.48,66.67,Class=snack. Proxy-mapped to validated source 'Pekawai Chips' (food_id=NONIND_0213); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,25,15,35,0.6,15
INDWEBX_00182,Banana chips,Banana chips,Snacks,,,,,,12,Henry et al. GI tables (non-Indian cohort),8,8,8,Low,0.5,66.67,Class=snack. Proxy-mapped to validated source 'Pekawai Chips' (food_id=NONIND_0213); score=0.33; tier=low. Converted from source serving_size_g=30g.,75,57,93,0.7,57
INDWEBX_00183,Bonda,Bonda,Snacks,,,,,,52.1,Henry et al. GI tables (non-Indian cohort),6.95,6.95,6.95,Low,0.48,13.33,Class=snack. Proxy-mapped to validated source 'St and Ardwheatbiscuit' (food_id=NONIND_0189); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,25,15,35,0.6,15
INDWEBX_00184,Chakli,Chakli,Snacks,,,,,,72.4,Henry et al. GI tables (non-Indian cohort),42.96,42.96,42.96,High,0.48,59.33,Class=snack. Proxy-mapped to validated source 'Puffed Rice Grains' (food_id=NONIND_0377); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00185,Dahi puri,Dahi puri,Snacks,,,,,,68,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h participants; portion 90 g provides 50 g available carbs (table page 21).",25.21,25.21,25.21,High,0.5,37.07,Class=snack. Proxy-mapped to validated source 'Biscuits' (food_id=IND_HENRY2021_602); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,53,40,67,0.7,40
INDWEBX_00186,Dhokla (khaman),Dhokla (khaman),Snacks,,,,,,92,Henry et al. GI tables (non-Indian cohort),43.18,43.18,43.18,High,0.48,46.93,Class=snack. Proxy-mapped to validated source 'Chicken Curry Puff' (food_id=NONIND_0007); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,25,15,35,0.6,15
INDWEBX_00187,Handvo,Handvo,Snacks,,,,,,72.4,Henry et al. GI tables (non-Indian cohort),42.96,42.96,42.96,High,0.48,59.33,Class=snack. Proxy-mapped to validated source 'Puffed Rice Grains' (food_id=NONIND_0377); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
