food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
WEST_IN_0114,Burger Egg,Burger Egg,Western foods (India) - Burgers,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,10.26,10.26,10.26,Medium,0.74,14.444444444444443,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burger_chicken.
WEST_IN_0117,Burger Fish,Burger Fish,Western foods (India) - Burgers,portion,100,100,100,0.75,69.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,9.97,9.97,9.97,Low,0.74,14.444444444444443,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burger_chicken.
WEST_IN_0120,Burger Paneer,Burger Paneer,Western foods (India) - Burgers,portion,100,100,100,0.75,69.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.58,11.58,11.58,Medium,0.74,16.666666666666664,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burger_veg.
WEST_IN_0123,Burger Spicy Veg,Burger Spicy Veg,Western foods (India) - Burgers,portion,100,100,100,0.75,70.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.75,11.75,11.75,Medium,0.74,16.666666666666664,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burger_veg.
WEST_IN_0126,Burger Veg,Burger Veg,Western foods (India) - Burgers,portion,100,100,100,0.75,70.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.75,11.75,11.75,Medium,0.74,16.666666666666664,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burger_veg.
NONIND_0120,Burisugar,Burisugar,Non-Indian reference food,portion,100,100,100,0.5,57.0,Henry et al. GI tables (non-Indian cohort),32.41,32.41,32.41,High,0.88,56.86666666666667,Original country: Malaysia. Renamed generically for Indian audience.
T4_0068,Burrito,Burrito (veg),Mixed meals,portion,100,100,100,0.7,60.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,8.18,8.18,8.18,Low,0.55,13.636363636363635,Rice + wrap.
WEST_IN_0185,Burrito Chicken,Burrito Chicken,Western foods (India) - Wraps & Tex-Mex,portion,100,100,100,0.7,69.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: cooked white rice from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,9.45,9.45,9.45,Low,0.71,13.636363636363635,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burrito.
WEST_IN_0186,Burrito Veg,Burrito Veg,Western foods (India) - Wraps & Tex-Mex,portion,100,100,100,0.7,70.8,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: cooked white rice from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,9.65,9.65,9.65,Low,0.71,13.636363636363635,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: burrito.
NONIND_0692,Butter Cake,Buttercake,Non-Indian reference food,portion,100,100,100,0.75,64.7,Henry et al. GI tables (non-Indian cohort),21.59,21.59,21.59,High,0.88,33.375,Original country: SriLanka. Renamed generically for Indian audience.
T4_0001,Butter Chicken,Butter chicken,Mixed meals,portion,100,100,100,0.85,35.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,20.0,20.0,20.0,High,0.58,57.14285714285714,Tomato-butter gravy; carbs mainly from sauce.
T3_0141,Butter Milk,Buttermilk (salted),Beverages,portion,100,100,100,0.9,15.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,0.38,0.27,0.49,Low,0.72,1.0,Low carbs.
NONIND_0309,Butter Rice,Butterrice,Non-Indian reference food,portion,100,100,100,0.85,96.0,Henry et al. GI tables (non-Indian cohort),20.35,20.35,20.35,High,0.88,21.2,Original country: Japan. Renamed generically for Indian audience.
T4_0124,Candy,Candy,Sweets & desserts,portion,100,100,100,0.55,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,80.0,80.0,80.0,High,0.5,100.0,Pure sugar.
NONIND_0424,Cake Crisp,Cakecrisp,Non-Indian reference food,portion,100,100,100,0.75,59.0,Henry et al. GI tables (non-Indian cohort),14.75,14.75,14.75,Medium,0.88,25.0,Original country: China. Renamed generically for Indian audience.
NONIND_0234,Cake Made from Modifiedcorn Flour,Cakemadefrommodifiedcornflour(Corn,Non-Indian reference food,portion,100,100,100,0.75,75.0,Henry et al. GI tables (non-Indian cohort),75.0,75.0,76.3,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0324,Cake Made from Wholesoy,Cakemadefromwholesoy,Non-Indian reference food,portion,100,100,100,0.75,22.0,Henry et al. GI tables (non-Indian cohort),12.18,12.18,10.7,Medium,0.88,55.375,Original country: Japan. Renamed generically for Indian audience.
WEST_IN_0001,Calzone Chicken,Calzone Chicken,Western foods (India) - Pizza,portion,100,100,100,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,11.6,10.49,Medium,0.7,15.333333333333332,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0002,Calzone Paneer,Calzone Paneer,Western foods (India) - Pizza,portion,100,100,100,0.7,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,11.02,12.2,11.02,Medium,0.7,16.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_paneer.
WEST_IN_0003,Calzone Veg,Calzone Veg,Western foods (India) - Pizza,portion,100,100,100,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,14.5,13.05,Medium,0.7,18.666666666666668,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
NONIND_0637,Cannabisindica,Cannabisindica(Kowakka),Non-Indian reference food,portion,100,100,100,0.5,49.0,Henry et al. GI tables (non-Indian cohort),13.07,13.07,13.07,Medium,0.88,26.666666666666668,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0285,Cantalope,Cantalope(Melon),Non-Indian reference food,portion,100,100,100,0.5,34.0,Henry et al. GI tables (non-Indian cohort),1.95,2.6,3.2,Low,0.88,5.733333333333333,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0271,Canton,Canton(Plain Wheat Noodles),Non-Indian reference food,portion,100,100,100,0.5,49.0,Henry et al. GI tables (non-Indian cohort),16.82,16.82,16.82,Medium,0.88,34.333333333333336,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0295,Carrot,Carrot,Non-Indian reference food,portion,100,100,100,0.5,35.0,Henry et al. GI tables (non-Indian cohort),1.66,2.2,2.7,Low,0.88,4.733333333333333,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0278,Cashewnuts,Cashewnuts,Non-Indian reference food,portion,100,100,100,0.5,36.0,Henry et al. GI tables (non-Indian cohort),5.66,5.66,5.66,Low,0.88,15.733333333333336,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0152,Cassava,Cassava,Non-Indian reference food,portion,100,100,100,0.5,78.0,Henry et al. GI tables (non-Indian cohort),11.44,11.44,11.44,Medium,0.88,14.666666666666666,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0170,Cassavaoyek,Cassavaoyek,Non-Indian reference food,portion,100,100,100,0.5,30.0,Henry et al. GI tables (non-Indian cohort),16.2,16.2,16.2,Medium,0.88,54.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0173,Cassavatiwul,Cassavatiwul(Singkong),Non-Indian reference food,portion,100,100,100,0.5,29.0,Henry et al. GI tables (non-Indian cohort),15.99,15.99,15.99,Medium,0.88,55.13333333333333,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0391,Castella,Castella,Non-Indian reference food,portion,100,100,100,0.5,59.9,Henry et al. GI tables (non-Indian cohort),17.49,17.49,17.49,Medium,0.88,29.2,Original country: Korea. Renamed generically for Indian audience.
T3_0094,Chaat,Chaat (mixed),Snacks,portion,100,100,100,0.5,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,75.0,75.0,75.0,High,0.6,100.0,Highly variable; recipe-based.
NONIND_0734,Chami,Chami(Cottagecheese),Non-Indian reference food,portion,100,100,100,0.5,60.0,Henry et al. GI tables (non-Indian cohort),2.12,2.9,3.5,Low,0.88,3.5333333333333337,Original country: UnitedArab. Renamed generically for Indian audience.
T2_0090,Chana Chaat,Chana chaat (boiled chana + veg),Snacks,portion,100,100,100,0.5,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,19.6,19.6,19.6,Medium,0.82,56.00000000000001,Recipe-based; veg lowers carb density.
T2_0081,Chana Dal,"Chana dal (plain, cooked)",Pulses & legumes,portion,100,100,100,0.8,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,3.27,4.31,3.27,Low,0.88,9.333333333333334,Plain dal; estimated.
T3_0015,Chana Dal Fry,Chana dal fry,Mixed meals,portion,100,100,100,0.8,38.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,3.55,3.94,3.55,Low,0.74,9.333333333333334,Cooked dal + tadka.
T3_0008,Chana Masala,Chana masala,Mixed meals,portion,100,100,100,0.5,40.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,4.27,4.74,4.27,Low,0.74,10.666666666666668,Chickpeas in tomato-onion gravy.
IND_HENRY2021_691,Chapathi,Chapathi,Other,portion,100,100,100,0.5,54.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 110 g provides 50 g available carbs (table page 23).",16.5,16.5,16.5,Medium,0.92,30.333333333333336,Computed carbs per 100 g using study portion: 50 g available carbs in 110 g portion. GI variability (SEM/SD) not reported in row.
T2_0040,Chapati,Chapati (whole-wheat atta),Breads & flatbreads,portion,100,100,100,0.8,60.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,60.0,60.0,60.0,High,0.88,100.0,Standard chapati; estimated per 100g cooked chapati.
T1_1779,Chapati Bajra,"Chapati, bajra",Breads & flatbreads,portion,100,100,100,0.8,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1779",41.99,41.99,41.99,High,0.92,85.7,Normalized to 100g from table serving 70g with 18g available carbs and GL 64.
T1_1780,Chapati Barley,"Chapati, barley",Breads & flatbreads,portion,100,100,100,0.8,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1780",41.74,41.74,41.74,High,0.92,86.96666666666667,Normalized to 100g from table serving 69g with 18g available carbs and GL 64.
T1_1782,Chapati Flour from Malted Wheat Moth Bean,"Chapati, flour from malted wheat, moth bean",Breads & flatbreads,portion,100,100,100,0.8,66.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1782",66.0,66.0,66.0,High,0.92,100.0,Normalized to 100g from table serving 60g with 38g available carbs and GL 25.
T1_1784,Chapati Flour from Roller Dried Wheat Moth Bean,"Chapati, flour from roller dried wheat, moth bean",Breads & flatbreads,portion,100,100,100,0.8,60.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1784",60.0,60.0,60.0,High,0.92,100.0,Normalized to 100g from table serving 60g with 38g available carbs and GL 23.
T1_1783,Chapati Flour Made from Popped Wheat Moth Bean,"Chapati, flour made from popped wheat, moth bean",Breads & flatbreads,portion,100,100,100,0.8,40.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1783",40.0,40.0,40.0,High,0.92,100.0,Normalized to 100g from table serving 60g with 36g available carbs and GL 14.
T1_1781,Chapati Maize,"Chapati, maize (Zea mays)",Breads & flatbreads,portion,100,100,100,0.8,59.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1781",41.65,41.65,41.65,High,0.92,70.6,Normalized to 100g from table serving 85g with 18g available carbs and GL 64.
T1_1785,Chapati Wheat Flour Thin with Green Gram,"Chapati, wheat flour, thin, with green gram",Breads & flatbreads,portion,100,100,100,0.8,44.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",36.67,36.67,36.67,High,0.92,83.33333333333334,Normalized to 100g from table serving 200g with 50g available carbs and GL 22.
IND_HENRY2021_632,Chapatti,Chapatti (whole-wheat + ricebran-based),Grains & staples,portion,100,100,100,0.55,68.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 123; n=2 participants; ref food/time: ; portion 50 g provides 20 g available carbs (table page 22).",18.21,18.21,18.21,Medium,0.92,26.666666666666668,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI SEM/SD reported: 11.49.
IND_HENRY2021_712,Chappati,Chappati (multigrainflour),Other,portion,100,100,100,0.5,28.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 148; n=30 Healthy; ref food/time: Dextrose/2h participants; portion 84 g provides 50 g available carbs (table page 24).",11.27,11.27,11.27,Medium,0.9,39.666666666666664,Computed carbs per 100 g using study portion: 50 g available carbs in 84 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0027,Charsiew Pau,Charsiew(Pork)Pau,Non-Indian reference food,portion,100,100,100,0.5,66.0,Henry et al. GI tables (non-Indian cohort),14.21,14.21,14.21,Medium,0.88,21.53333333333333,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0730,Chebab Bread,Chebabbread,Non-Indian reference food,portion,100,100,100,0.9,54.0,Henry et al. GI tables (non-Indian cohort),54.0,54.0,54.0,High,0.88,100.0,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0023,Cheecheongfun,Cheecheongfun,Non-Indian reference food,portion,100,100,100,0.5,81.0,Henry et al. GI tables (non-Indian cohort),9.72,9.72,9.72,Low,0.88,12.0,Original country: Singapore. Renamed generically for Indian audience.
WEST_IN_0130,Cheese Bread Sticks,Cheese Breadsticks,Western foods (India) - Sandwiches,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,29.29,29.1,High,0.74,41.25,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: sandwich_veg.
NONIND_0008,Cheese Bun,Cheesebun,Non-Indian reference food,portion,100,100,100,0.5,95.0,Henry et al. GI tables (non-Indian cohort),60.93,60.93,60.93,High,0.88,64.13333333333333,Original country: Singapore. Renamed generically for Indian audience.
WEST_IN_0223,Cheese Fries,Cheese Fries,Western foods (India) - Sides,portion,100,100,100,0.5,64.0,Proxy GI anchor: french fries from International GI Tables (Atkinson 2008).,14.93,14.93,14.93,Medium,0.75,23.333333333333332,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: fries.
WEST_IN_0131,Cheese Garlic Bread,Cheese Garlic Bread,Western foods (India) - Sandwiches,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,29.29,29.1,High,0.74,41.25,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: sandwich_veg.
NONIND_0752,Cheese and Wich,Cheesesandwichwithwater,Non-Indian reference food,portion,100,100,100,0.5,72.4,Henry et al. GI tables (non-Indian cohort),9.65,9.65,9.65,Low,0.88,13.333333333333334,Original country: Oman. Renamed generically for Indian audience.
T4_0125,Chewing Gum,Chewing gum (sweetened),Sweets & desserts,portion,100,100,100,0.55,65.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,60.36,60.36,60.36,High,0.5,92.85714285714286,Sugar alcohols/sugar.
T3_0023,Chicken Biryani,Chicken biryani (home-style),Mixed meals,portion,100,100,100,0.75,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,5.98,5.98,5.98,Low,0.68,9.2,Rice-dominant; recipe-based.
T3_0020,Chicken Curry,Chicken curry (home-style),Mixed meals,portion,100,100,100,0.7,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.75,1.3333333333333335,"Very low carbs; GI negligible. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
NONIND_0007,Chicken Curry Puff,Chickencurrypuff,Non-Indian reference food,portion,100,100,100,0.7,92.0,Henry et al. GI tables (non-Indian cohort),43.18,43.18,43.18,High,0.88,46.93333333333334,Original country: Singapore. Renamed generically for Indian audience.
T4_0034,Chicken Cutlet,Chicken cutlet,Snacks,portion,100,100,100,0.5,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,59.84,59.84,59.84,High,0.55,88.0,Breaded + fried.
T4_0021,Chicken Fried Rice,Chicken fried rice,Mixed meals,portion,100,100,100,0.75,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,6.8,6.8,6.8,Low,0.55,10.0,Rice dominant.
T4_0075,Chicken Kebab,Chicken kebab,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.58,1.3333333333333335,"Grilled; negligible carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0006,Chicken Korma,Chicken korma,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.56,6.666666666666667,"Cashew gravy; moderate carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0011,Chicken Momos,Chicken momos,Snacks,portion,100,100,100,0.5,58.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,46.4,46.4,46.4,High,0.56,80.0,Dough dominant.
WEST_IN_0224,Chicken Nuggets,Chicken Nuggets,Western foods (India) - Sides,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.75,10.0,"Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: nuggets. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0024,Chicken Pizza,Chicken pizza,Mixed meals,portion,100,100,100,0.7,65.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,13.0,13.0,13.0,Medium,0.55,20.0,Refined base.
T4_0089,Chicken Popcorn,Chicken popcorn,Snacks,portion,100,100,100,0.7,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,54.4,54.4,54.4,High,0.55,80.0,Breaded chicken.
T4_0032,Chicken Puff,Chicken puff,Snacks,portion,100,100,100,0.5,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75.0,75.0,75.0,High,0.54,100.0,Puff pastry.
NONIND_0754,Chicken and Wich,Chickensandwichwithwater,Non-Indian reference food,portion,100,100,100,0.5,65.7,Henry et al. GI tables (non-Indian cohort),8.76,8.76,8.76,Low,0.88,13.333333333333334,Original country: Oman. Renamed generically for Indian audience.
T4_0008,Chicken Shawarma,Chicken shawarma (Indian restaurant),Mixed meals,portion,100,100,100,0.7,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.55,10.0,"Wrap + sauces; highly variable. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0087,Chicken Soup,Chicken soup (clear),Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.58,1.3333333333333335,"Negligible carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0073,Chicken Tikka,Chicken tikka,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.58,1.3333333333333335,"Grilled; negligible carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0002,Chicken Tikka Masala,Chicken tikka masala,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.58,6.0,"Restaurant-style gravy; variable sugar. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
WEST_IN_0225,Chicken Wings,Chicken Wings,Western foods (India) - Sides,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.75,3.3333333333333335,"Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: wings. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
NONIND_0604,Chickpeameal,Chickpeameal,Non-Indian reference food,portion,100,100,100,0.5,40.0,Henry et al. GI tables (non-Indian cohort),3.57,4.8,3.57,Low,0.88,8.933333333333334,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0079,Chiffon Cake,Chiffoncake,Non-Indian reference food,portion,100,100,100,0.75,60.0,Henry et al. GI tables (non-Indian cohort),15.37,15.37,15.37,Medium,0.88,25.624999999999996,Original country: Malaysia. Renamed generically for Indian audience.
IND_HENRY2021_610,Chikku,Chikku,Other,portion,100,100,100,0.5,73.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.78,11.78,Medium,0.92,16.133333333333333,Computed carbs per 100 g using study portion: 29 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
WEST_IN_0226,Chilli Cheese Fries,Chilli Cheese Fries,Western foods (India) - Sides,portion,100,100,100,0.5,64.0,Proxy GI anchor: french fries from International GI Tables (Atkinson 2008).,14.93,14.93,14.93,Medium,0.75,23.333333333333332,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: fries.
T4_0015,Chilli Chicken,Chilli chicken (dry),Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.56,6.0,"Sauce sugars vary. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
T4_0014,Chilli Paneer,Chilli paneer (dry),Mixed meals,portion,100,100,100,0.5,40.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,2.67,2.24,2.67,Low,0.56,6.666666666666667,Sauce sugars vary.
NONIND_0044,Chinese Steam White Bun,Chinesesteamedwhitebun,Non-Indian reference food,portion,100,100,100,0.5,58.0,Henry et al. GI tables (non-Indian cohort),21.96,21.96,21.96,High,0.88,37.86666666666667,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0019,Chinesecarrot Cake,Chinesecarrotcake,Non-Indian reference food,portion,100,100,100,0.75,77.0,Henry et al. GI tables (non-Indian cohort),15.21,15.21,15.21,Medium,0.88,19.75,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0532,Chineseherbal Jelly,Chineseherbaljelly,Non-Indian reference food,portion,100,100,100,0.5,47.0,Henry et al. GI tables (non-Indian cohort),4.7,4.7,4.7,Low,0.88,10.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0021,Chineseyam Cake,Chineseyamcake,Non-Indian reference food,portion,100,100,100,0.75,86.0,Henry et al. GI tables (non-Indian cohort),13.76,13.76,13.76,Medium,0.88,16.0,Original country: Singapore. Renamed generically for Indian audience.
T2_0115,Chivda,"Chivda (poha mix, plain)",Snacks,portion,100,100,100,0.5,65.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,65.0,65.0,65.0,High,0.78,100.0,Dry snack; recipe-based.
NONIND_0248,Chocochip Cookie with Coconut Flour,Chocochipcookies+Coconutflour,Non-Indian reference food,portion,100,100,100,0.75,61.3,Henry et al. GI tables (non-Indian cohort),61.3,61.3,61.3,High,0.88,100.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0252,Chococrinkles with Coconut Flour,Chococrinkles+Coconutflour,Non-Indian reference food,portion,100,100,100,0.5,61.3,Henry et al. GI tables (non-Indian cohort),8.17,8.17,8.17,Low,0.88,13.333333333333334,Original country: Philippines. Renamed generically for Indian audience.
