food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
WEST_IN_0025,Pizza Chicken Tikka,Pizza Chicken Tikka,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.71,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0028,Pizza Corn and Cheese,Pizza Corn & Cheese,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0031,Pizza Double Cheese,Pizza Double Cheese,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.03,10.03,10.03,Medium,0.72,14.663742690058477,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_cheese_burst.
WEST_IN_0034,Pizza Farmhouse,Pizza Farmhouse,Western foods (India) - Pizza,portion,105,150,195,0.7,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.14,13.14,13.14,Medium,0.72,18.664772727272727,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0037,Pizza Four Cheese,Pizza Four Cheese,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.03,10.03,10.03,Medium,0.72,14.663742690058477,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_cheese_burst.
WEST_IN_0040,Pizza Jalapeno,Pizza Jalapeno,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0043,Pizza Keema,Pizza Keema,Western foods (India) - Pizza,portion,105,150,195,0.7,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.79,10.79,10.79,Medium,0.71,15.326704545454545,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0046,Pizza Margherita,Pizza Margherita,Western foods (India) - Pizza,portion,105,150,195,0.7,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.02,15.02,15.02,Medium,0.72,21.33522727272727,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_plain.
WEST_IN_0049,Pizza Meat Lovers,Pizza Meat Lovers,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.71,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0052,Pizza Mexican Veg,Pizza Mexican Veg,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0055,Pizza Mushroom,Pizza Mushroom,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0056,Pizza Mushroom and Olive,Pizza Mushroom & Olive,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0061,Pizza Olive,Pizza Olive,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0066,Pizza Paneer Makhani,Pizza Paneer Makhani (thin crust),Western foods (India) - Pizza,portion,105,150,195,0.7,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.62,15.62,15.62,Medium,0.72,22.67053701015965,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_thin_crust.
WEST_IN_0069,Pizza Paneer Tikka,Pizza Paneer Tikka (thin crust),Western foods (India) - Pizza,portion,105,150,195,0.7,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,15.62,15.62,15.62,Medium,0.72,22.67053701015965,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_thin_crust.
WEST_IN_0070,Pizza Pepperoni,Pizza Pepperoni,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,11.4,11.4,11.4,Medium,0.71,16.666666666666664,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_pepperoni.
WEST_IN_0073,Pizza Peri Peri Chicken,Pizza Peri Peri Chicken,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.71,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0076,Pizza Pineapple,Pizza Pineapple (sweet-savoury),Western foods (India) - Pizza,portion,105,150,195,0.7,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.14,13.14,13.14,Medium,0.72,18.664772727272727,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0079,Pizza Pocket Chicken,Pizza Pocket Chicken,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.7,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0080,Pizza Pocket Veg,Pizza Pocket Veg,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.7,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0081,Pizza Sausage,Pizza Sausage,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.71,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0084,Pizza Spinach and Corn,Pizza Spinach & Corn,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0087,Pizza and Oori Chicken,Pizza Tandoori Chicken,Western foods (India) - Pizza,portion,105,150,195,0.7,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,10.49,10.49,10.49,Medium,0.71,15.33625730994152,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_chicken.
WEST_IN_0090,Pizza Tomato and Basil,Pizza Tomato & Basil,Western foods (India) - Pizza,portion,105,150,195,0.7,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.14,13.14,13.14,Medium,0.72,18.664772727272727,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0093,Pizza Veg,Pizza Veg,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
WEST_IN_0096,Pizza Veg Gie Delight,Pizza Veggie Delight,Western foods (India) - Pizza,portion,105,150,195,0.7,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,13.05,13.05,13.05,Medium,0.72,18.669527896995707,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pizza_veg.
NONIND_0388,Plain Bread,Plainbread,Non-Indian reference food,slice,20,25,30,0.9,70.7,Henry et al. GI tables (non-Indian cohort),70.7,70.7,70.7,High,0.88,100.0,Original country: Korea. Renamed generically for Indian audience.
NONIND_0526,Plain Steam Sevai Roll,Plainsteamedvermicelliroll,Non-Indian reference food,bowl,150,200,250,0.7,90.0,Henry et al. GI tables (non-Indian cohort),18.9,18.9,18.9,Medium,0.88,20.999999999999996,Original country: Hong. Renamed generically for Indian audience.
NONIND_0074,Plain Wheat Noodles,Plain Wheat Noodles,Non-Indian reference food,bowl,188,250,312,0.7,60.0,Henry et al. GI tables (non-Indian cohort),8.95,8.95,8.95,Low,0.88,14.916666666666664,Original country: Malaysia. Renamed generically for Indian audience.
IND_HENRY2021_690,Plaintain,Plaintain (unripe),Other,portion,105,150,195,0.5,73.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 422 g provides 50 g available carbs (table page 23).",5.81,5.81,5.81,Low,0.92,7.861975642760487,Computed carbs per 100 g using study portion: 50 g available carbs in 422 g portion. GI variability (SEM/SD) not reported in row.
T2_0058,Poha,Poha (plain),Mixed meals,katori,144,180,216,0.75,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,7.64,7.64,7.64,Low,0.85,13.89090909090909,Flattened rice cooked; estimate.
T3_0095,Poha Chivda,Poha chivda,Snacks,katori,144,180,216,0.75,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,19.86,19.86,19.86,Medium,0.62,30.553846153846155,Dry snack; recipe-based.
T3_0103,Poha Jalebi,Poha jalebi,Mixed meals,katori,144,180,216,0.75,85.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,16.53,16.53,16.53,Medium,0.58,19.44705882352941,Festival combo; highly variable.
NONIND_0148,Polished Rice,Polishedrice(Leuangawn),Non-Indian reference food,plate,120,150,180,0.85,83.1,Henry et al. GI tables (non-Indian cohort),19.82,17.75,22.18,Medium,0.88,23.85078219013237,Original country: Thailand. Renamed generically for Indian audience.
NONIND_0069,Polishedbrown Rice,Polishedbrownrice,Non-Indian reference food,plate,120,150,180,0.85,86.0,Henry et al. GI tables (non-Indian cohort),15.37,13.76,17.21,Medium,0.88,17.872093023255815,Original country: Malaysia. Renamed generically for Indian audience.
T2_0129,Pomegranate,Pomegranate (arils),Fruits,bowl,128,170,212,0.75,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,3.71,3.71,3.71,Low,0.88,10.6,Fresh fruit.
T2_0072,Pongal,Pongal (ven pongal),Mixed meals,portion,105,150,195,0.5,60.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.65,8.64,10.8,Low,0.8,16.083333333333332,Rice+moong; recipe-based.
IND_HENRY2021_620,Ponni,Ponni (parboiledrice),Grains & staples,plate,120,150,180,0.55,70.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 119; n=30 Healthy; ref food/time: Glucose/2h participants; portion 236 g provides 50 g available carbs (table page 21).",9.92,9.92,9.92,Low,0.9,14.13105413105413,Computed carbs per 100 g using study portion: 50 g available carbs in 236 g portion. GI SEM/SD reported: 3.6.
IND_HENRY2021_692,Poori,Poori,Other,piece,15,20,25,0.7,58.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 121 g provides 50 g available carbs (table page 23).",58.5,58.5,58.5,High,0.92,100.0,Computed carbs per 100 g using study portion: 50 g available carbs in 121 g portion. GI variability (SEM/SD) not reported in row.
WEST_IN_0232,Popcorn Chicken,Popcorn Chicken,Western foods (India) - Sides,packet,18,30,42,0.7,68.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,34.25,34.25,34.25,High,0.75,50.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: nuggets.
IND_HENRY2021_617,Popped Amaranth,Popped Amaranth,Other,portion,105,150,195,0.5,44.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 116.34 g provides 50 g available carbs (table page 21).",12.61,12.61,12.61,Medium,0.9,28.65909090909091,Computed carbs per 100 g using study portion: 50 g available carbs in 116.34 g portion. GI SEM/SD reported: 25.08.
IND_HENRY2021_696,Porotta,Porotta,Other,portion,105,150,195,0.5,38.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 121 g provides 50 g available carbs (table page 24).",10.46,10.46,10.46,Medium,0.92,27.526315789473685,Computed carbs per 100 g using study portion: 50 g available carbs in 121 g portion. GI variability (SEM/SD) not reported in row.
T1_0387,Porridge Made from Rolled Oat Cooked for,"Porridge, made from rolled oats cooked for",Grains & staples,plate,120,150,180,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #387",1.23,1.23,1.23,Low,0.92,6.15,Normalized to 100g from table serving 250g with 23g available carbs and GL 11.
T1_0390,Porridge Made from Steel Cut Oat Cooked in Water,"Porridge, made from steel-cut oats, cooked in water",Grains & staples,plate,120,150,180,0.55,52.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #390",9.16,9.16,9.16,Low,0.92,17.615384615384617,Normalized to 100g from table serving 250g with 33g available carbs and GL 17.
NONIND_0428,Potato,Potato(Steam),Non-Indian reference food,portion,105,150,195,0.5,62.0,Henry et al. GI tables (non-Indian cohort),8.27,8.27,8.27,Low,0.88,13.338709677419354,Original country: China. Renamed generically for Indian audience.
NONIND_0429,Potato Crisp,Potatocrisp(Oilfry),Non-Indian reference food,portion,105,150,195,0.5,60.3,Henry et al. GI tables (non-Indian cohort),8.04,8.04,8.04,Low,0.88,13.333333333333332,Original country: China. Renamed generically for Indian audience.
NONIND_0432,Potato Mashed,Potatomashed,Non-Indian reference food,portion,105,150,195,0.5,73.0,Henry et al. GI tables (non-Indian cohort),9.73,9.73,9.73,Low,0.88,13.32876712328767,Original country: China. Renamed generically for Indian audience.
NONIND_0401,Potato Starch Steam,Potatostarchsteamed,Non-Indian reference food,portion,105,150,195,0.5,53.3,Henry et al. GI tables (non-Indian cohort),32.48,32.48,32.48,High,0.88,60.938086303939954,Original country: Korea. Renamed generically for Indian audience.
WEST_IN_0233,Potato Wedges,Potato Wedges,Western foods (India) - Sides,portion,105,150,195,0.5,78.0,Proxy GI anchor: cooked potato from International GI Tables (Atkinson 2008).,13.52,13.52,13.52,Medium,0.75,17.333333333333332,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: potato_wedges.
T4_0143,Prasad,Prasad (temple sweet),Sweets & desserts,piece,52,70,88,0.55,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,40.0,40.0,40.0,High,0.48,50.0,Highly variable.
NONIND_0323,Pre Germinatedbrown Rice,Pre-Germinatedbrownrice,Non-Indian reference food,plate,120,150,180,0.85,54.4,Henry et al. GI tables (non-Indian cohort),13.32,11.93,14.91,Medium,0.88,24.485294117647058,Original country: Japan. Renamed generically for Indian audience.
T1_0565,Precooked Basmati Rice in Pouch White Reheated in,"Precooked basmati rice in pouch, white, reheated in",Grains & staples,plate,120,150,180,0.85,57.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #565",13.92,12.47,15.59,Medium,0.92,24.42105263157895,Normalized to 100g from table serving 150g with 41g available carbs and GL 24.
IND_HENRY2021_721,Preserved Coconut Sugar,Preservedcoconutsugar,Other,teaspoon,3,4,5,0.9,52.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 152; n=15 Healthy; ref food/time: Glucose/2h participants; portion 62.5 g provides 50 g available carbs (table page 24).",2.1,2.1,2.1,Low,0.25,4.0,"Computed carbs per 100 g using study portion: 50 g available carbs in 62.5 g portion. GI variability (SEM/SD) not reported in row. | SERVING_SUSPICIOUS: serving_size_g outside [10,500]."
T2_0011,Proso Millet,Proso millet (cooked),Grains & staples,plate,120,150,180,0.55,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.43,8.43,8.43,Low,0.86,15.327272727272728,Cooked millet grain.
T4_0046,Protein Bar,Protein bar (sweetened),Snacks,handful,15,25,35,0.5,55.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,44.0,44.0,44.0,High,0.54,80.0,Sweetened protein bar.
T4_0099,Protein Shake,Protein shake (sweetened),Beverages,glass,240,300,360,0.75,55.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,4.4,4.4,4.4,Low,0.56,8.000000000000002,Sweetened protein.
NONIND_0377,Puffed Rice Grains,Puffedricegrains,Non-Indian reference food,plate,120,150,180,0.85,72.4,Henry et al. GI tables (non-Indian cohort),57.57,51.55,64.44,High,0.88,79.51657458563535,Original country: Korea. Renamed generically for Indian audience.
T3_0025,Pulao,Pulao (veg),Mixed meals,plate,200,250,300,0.75,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,8.04,7.2,9.0,Low,0.68,13.399999999999999,Rice-dominant; recipe-based.
NONIND_0565,Pumpkin Boiled,"Pumpkin,Boiled",Non-Indian reference food,portion,105,150,195,0.5,66.0,Henry et al. GI tables (non-Indian cohort),9.81,9.81,9.81,Low,0.88,14.863636363636363,Original country: WestIndia. Renamed generically for Indian audience.
NONIND_0207,Pumpkin Flour Chips,Pumpkinflourchips,Non-Indian reference food,packet,18,30,42,0.7,51.0,Henry et al. GI tables (non-Indian cohort),51.0,51.0,51.0,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
T2_0047,Puri,Puri (fried wheat),Breads & flatbreads,piece,15,20,25,0.7,80.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,80.0,80.0,80.0,High,0.82,100.0,Fried; recipe-based.
NONIND_0269,Puto White,"Puto,White",Non-Indian reference food,portion,105,150,195,0.5,90.0,Henry et al. GI tables (non-Indian cohort),30.0,30.0,30.0,High,0.88,33.333333333333336,Original country: Philippines. Renamed generically for Indian audience.
IND_HENRY2021_689,Puttu,Puttu,Other,portion,105,150,195,0.5,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.92,23.668261562998403,Computed carbs per 100 g using study portion: 50 g available carbs in 141 g portion. GI variability (SEM/SD) not reported in row.
T3_0059,Puttu with Kadala Curry,Puttu + kadala curry,Mixed meals,katori,120,150,180,0.7,62.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.18,14.54,21.82,Medium,0.66,29.322580645161292,Puttu + chickpea curry; recipe-based.
T3_0100,Pyaaz Kachori,Pyaaz kachori,Snacks,handful,15,25,35,0.5,78.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,78.0,78.0,78.0,High,0.6,100.0,Fried snack; recipe-based.
WEST_IN_0189,Quesadilla Cheese,Quesadilla Cheese,Western foods (India) - Wraps & Tex-Mex,portion,105,150,195,0.5,70.1,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,11.68,11.68,11.68,Medium,0.71,16.66191155492154,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: quesadilla.
WEST_IN_0190,Quesadilla Chicken,Quesadilla Chicken,Western foods (India) - Wraps & Tex-Mex,portion,105,150,195,0.5,68.1,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,11.35,11.35,11.35,Medium,0.71,16.666666666666668,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: quesadilla.
T1_0566,Quick Cooking White Basmati Cooked,"Quick cooking white basmati, cooked",Grains & staples,plate,120,150,180,0.55,10.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #566",1.69,1.69,1.69,Low,0.92,16.9,Normalized to 100g from table serving 150g with 38g available carbs and GL 23.
T4_0139,Rabri,Rabri,Sweets & desserts,piece,52,70,88,0.55,60.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,17.14,17.14,17.14,Medium,0.5,28.566666666666666,Concentrated milk + sugar.
T3_0092,Ragda Pattice,Ragda pattice,Snacks,handful,15,25,35,0.5,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,75.0,75.0,75.0,High,0.62,100.0,Potato + peas; recipe-based.
T2_0017,Ragi Dosa,Ragi dosa (plain),Mixed meals,piece,90,120,150,0.75,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.34,4.08,18.09,Low,0.82,13.342857142857143,Batter-based; estimated.
T3_0069,Ragi Dosa with Chutney,Ragi dosa + chutney,Mixed meals,piece,90,120,150,0.75,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,3.41,15.11,Low,0.66,12.0,Recipe-based.
IND_HENRY2021_710,Ragi Extrudedsnack,Fingermilletextrudedsnack,Grains & staples,plate,120,150,180,0.55,65.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 12 g available carbs (table page 24).",10.4,10.4,10.4,Medium,0.9,16.0,Computed carbs per 100 g using study portion: 12 g available carbs in 50 g portion. GI SEM/SD reported: 6.6.
T2_0020,Ragi Idli,Ragi idli (plain),Mixed meals,piece,38,50,62,0.8,72.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,25.92,25.92,25.92,High,0.82,36.0,Steamed batter item; estimated.
T3_0070,Ragi Idli with Sambar,Ragi idli + sambar,Mixed meals,piece,38,50,62,0.8,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,38.4,30.72,46.08,High,0.66,64.0,Recipe-based.
T2_0036,Ragi Malt,Ragi malt (unsweetened),Beverages,glass,200,250,300,0.6,45.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,2.88,2.88,2.88,Low,0.8,6.4,Unsweetened ragi malt; diluted beverage.
