food_id,canonical_name,canonical_name_original,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0285,Cantalope,Cantalope(Melon),Non-Indian reference food,34.0,Henry et al. GI tables (non-Indian cohort),2.9,2.6,3.2,Low,0.88,100,8.6,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0271,Canton,Canton(Plain Wheat Noodles),Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),25.3,22.7,27.8,High,0.88,100,51.5,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0295,Carrot,Carrot,Non-Indian reference food,35.0,Henry et al. GI tables (non-Indian cohort),2.5,2.2,2.7,Low,0.88,100,7.1,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0278,Cashewnuts,Cashewnuts,Non-Indian reference food,36.0,Henry et al. GI tables (non-Indian cohort),8.5,7.6,9.3,Low,0.88,100,23.6,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0152,Cassava,Cassava,Non-Indian reference food,78.0,Henry et al. GI tables (non-Indian cohort),17.2,15.4,18.9,Medium,0.88,100,22.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0170,Cassavaoyek,Cassavaoyek,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),24.3,21.9,26.7,High,0.88,100,81.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0173,Cassavatiwul,Cassavatiwul(Singkong),Non-Indian reference food,29.0,Henry et al. GI tables (non-Indian cohort),24.0,21.6,26.4,High,0.88,100,82.7,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0391,Castella,Castella,Non-Indian reference food,59.9,Henry et al. GI tables (non-Indian cohort),26.2,23.6,28.8,High,0.88,100,43.8,Original country: Korea. Renamed generically for Indian audience.
T3_0094,Chaat,Chaat (mixed),Snacks,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.75,11.25,26.25,Medium,0.6,100,25.0,Highly variable; recipe-based.
NONIND_0734,Chami,Chami(Cottagecheese),Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),3.2,2.9,3.5,Low,0.88,100,5.3,Original country: UnitedArab. Renamed generically for Indian audience.
T2_0090,Chana Chaat,Chana chaat (boiled chana + veg),Snacks,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.9,4.02,5.78,Low,0.82,100,14.0,Recipe-based; veg lowers carb density.
T2_0081,Chana Dal,"Chana dal (plain, cooked)",Pulses & legumes,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.9,4.31,5.49,Low,0.88,100,14.0,Plain dal; estimated.
T3_0015,Chana Dal Fry,Chana dal fry,Mixed meals,38.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,5.32,3.94,6.7,Low,0.74,100,14.0,Cooked dal + tadka.
T3_0008,Chana Masala,Chana masala,Mixed meals,40.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.4,4.74,8.06,Low,0.74,100,16.0,Chickpeas in tomato-onion gravy.
IND_HENRY2021_691,Chapathi,Chapathi,Other,54.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 110 g provides 50 g available carbs (table page 23).",24.7,22.72,26.68,High,0.92,100,45.5,Computed carbs per 100 g using study portion: 50 g available carbs in 110 g portion. GI variability (SEM/SD) not reported in row.
T2_0040,Chapati,Chapati (whole-wheat atta),Breads & flatbreads,60.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,25.2,22.18,28.22,High,0.88,100,42.0,Standard chapati; estimated per 100g cooked chapati.
T1_1779,Chapati Bajra,"Chapati, bajra",Breads & flatbreads,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1779",91.43,84.12,98.74,High,0.92,100,25.71,Normalized to 100g from table serving 70g with 18g available carbs and GL 64.
T1_1780,Chapati Barley,"Chapati, barley",Breads & flatbreads,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1780",92.75,85.33,100.17,High,0.92,100,26.09,Normalized to 100g from table serving 69g with 18g available carbs and GL 64.
T1_1782,Chapati Flour From Malted Wheat Moth Bean,"Chapati, flour from malted wheat, moth bean",Breads & flatbreads,66.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1782",41.67,38.34,45.0,High,0.92,100,63.33,Normalized to 100g from table serving 60g with 38g available carbs and GL 25.
T1_1784,Chapati Flour From Roller Dried Wheat Moth Bean,"Chapati, flour from roller dried wheat, moth bean",Breads & flatbreads,60.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1784",38.33,35.26,41.4,High,0.92,100,63.33,Normalized to 100g from table serving 60g with 38g available carbs and GL 23.
T1_1783,Chapati Flour Made From Popped Wheat Moth Bean,"Chapati, flour made from popped wheat, moth bean",Breads & flatbreads,40.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1783",23.33,21.46,25.2,High,0.92,100,60.0,Normalized to 100g from table serving 60g with 36g available carbs and GL 14.
T1_1781,Chapati Maize,"Chapati, maize (Zea mays)",Breads & flatbreads,59.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1781",75.29,69.27,81.31,High,0.92,100,21.18,Normalized to 100g from table serving 85g with 18g available carbs and GL 64.
T1_1785,Chapati Wheat Flour Thin with Green Gram,"Chapati, wheat flour, thin, with green gram",Breads & flatbreads,44.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",11.0,10.12,11.88,Medium,0.92,100,25.0,Normalized to 100g from table serving 200g with 50g available carbs and GL 22.
IND_HENRY2021_632,Chapatti,Chapatti (whole-wheat + ricebran-based),Grains & staples,68.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 123; n=2 participants; ref food/time: ; portion 50 g provides 20 g available carbs (table page 22).",27.3,25.12,29.48,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI SEM/SD reported: 11.49.
IND_HENRY2021_712,Chappati,Chappati (multigrainflour),Other,28.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 148; n=30 Healthy; ref food/time: Dextrose/2h participants; portion 84 g provides 50 g available carbs (table page 24).",16.9,15.21,18.59,Medium,0.9,100,59.5,Computed carbs per 100 g using study portion: 50 g available carbs in 84 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0027,Charsiew Pau,Charsiew(Pork)Pau,Non-Indian reference food,66.0,Henry et al. GI tables (non-Indian cohort),21.3,19.2,23.5,High,0.88,100,32.3,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0730,Chebab Bread,Chebabbread,Non-Indian reference food,54.0,Henry et al. GI tables (non-Indian cohort),24.8,22.3,27.2,High,0.88,100,45.9,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0023,Cheecheongfun,Cheecheongfun,Non-Indian reference food,81.0,Henry et al. GI tables (non-Indian cohort),14.6,13.1,16.1,Medium,0.88,100,18.0,Original country: Singapore. Renamed generically for Indian audience.
WEST_IN_0130,Cheese Bread Sticks,Cheese Breadsticks,Western foods (India) - Sandwiches,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.4,17.7,29.1,High,0.74,100,33.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: sandwich_veg.
NONIND_0008,Cheese Bun,Cheesebun,Non-Indian reference food,95.0,Henry et al. GI tables (non-Indian cohort),91.3,82.2,100.5,High,0.88,100,96.2,Original country: Singapore. Renamed generically for Indian audience.
WEST_IN_0223,Cheese Fries,Cheese Fries,Western foods (India) - Sides,64.0,Proxy GI anchor: french fries from International GI Tables (Atkinson 2008).,22.4,17.0,27.8,High,0.75,100,35.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: fries.
WEST_IN_0131,Cheese Garlic Bread,Cheese Garlic Bread,Western foods (India) - Sandwiches,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.4,17.7,29.1,High,0.74,100,33.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: sandwich_veg.
NONIND_0752,Cheese S and Wich,Cheesesandwichwithwater,Non-Indian reference food,72.4,Henry et al. GI tables (non-Indian cohort),14.5,13.0,15.9,Medium,0.88,100,20.0,Original country: Oman. Renamed generically for Indian audience.
T4_0125,Chewing Gum,Chewing gum (sweetened),Sweets & desserts,65.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,42.25,21.12,63.38,High,0.5,100,65.0,Sugar alcohols/sugar.
T3_0023,Chicken Biryani,Chicken biryani (home-style),Mixed meals,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,14.95,10.17,19.73,Medium,0.68,100,23.0,Rice-dominant; recipe-based.
T3_0020,Chicken Curry,Chicken curry (home-style),Mixed meals,0.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,0.0,0.0,0.0,Low,0.75,100,2.0,Very low carbs; GI negligible.
NONIND_0007,Chicken Curry Puff,Chickencurrypuff,Non-Indian reference food,92.0,Henry et al. GI tables (non-Indian cohort),64.8,58.3,71.3,High,0.88,100,70.4,Original country: Singapore. Renamed generically for Indian audience.
T4_0034,Chicken Cutlet,Chicken cutlet,Snacks,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,14.96,8.23,21.69,Medium,0.55,100,22.0,Breaded + fried.
T4_0021,Chicken Fried Rice,Chicken fried rice,Mixed meals,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,17.0,9.35,24.65,Medium,0.55,100,25.0,Rice dominant.
T4_0075,Chicken Kebab,Chicken kebab,Mixed meals,0.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,0.0,0.0,0.0,Low,0.58,100,2.0,Grilled; negligible carbs.
T4_0006,Chicken Korma,Chicken korma,Mixed meals,40.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,4.0,2.24,5.76,Low,0.56,100,10.0,Cashew gravy; moderate carbs.
T4_0011,Chicken Momos,Chicken momos,Snacks,58.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,11.6,6.5,16.7,Medium,0.56,100,20.0,Dough dominant.
WEST_IN_0224,Chicken Nuggets,Chicken Nuggets,Western foods (India) - Sides,69.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,10.3,7.8,12.8,Medium,0.75,100,15.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: nuggets.
T4_0024,Chicken Pizza,Chicken pizza,Mixed meals,65.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,19.5,10.73,28.27,High,0.55,100,30.0,Refined base.
T4_0089,Chicken Popcorn,Chicken popcorn,Snacks,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,16.32,8.98,23.66,Medium,0.55,100,24.0,Breaded chicken.
T4_0032,Chicken Puff,Chicken puff,Snacks,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,26.25,14.18,38.32,High,0.54,100,35.0,Puff pastry.
NONIND_0754,Chicken S and Wich,Chickensandwichwithwater,Non-Indian reference food,65.7,Henry et al. GI tables (non-Indian cohort),13.1,11.8,14.4,Medium,0.88,100,20.0,Original country: Oman. Renamed generically for Indian audience.
T4_0008,Chicken Shawarma,Chicken shawarma (Indian restaurant),Mixed meals,50.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,11.0,6.05,15.95,Medium,0.55,100,22.0,Wrap + sauces; highly variable.
T4_0087,Chicken Soup,Chicken soup (clear),Mixed meals,0.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,0.0,0.0,0.0,Low,0.58,100,2.0,Negligible carbs.
T4_0073,Chicken Tikka,Chicken tikka,Mixed meals,0.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,0.0,0.0,0.0,Low,0.58,100,2.0,Grilled; negligible carbs.
T4_0002,Chicken Tikka Masala,Chicken tikka masala,Mixed meals,38.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,3.42,1.98,4.86,Low,0.58,100,9.0,Restaurant-style gravy; variable sugar.
WEST_IN_0225,Chicken Wings,Chicken Wings,Western foods (India) - Sides,69.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,3.5,2.7,4.3,Low,0.75,100,5.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: wings.
NONIND_0604,Chickpeameal,Chickpeameal,Non-Indian reference food,40.0,Henry et al. GI tables (non-Indian cohort),5.4,4.8,5.9,Low,0.88,100,13.4,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0079,Chiffon Cake,Chiffoncake,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),12.3,11.1,13.5,Medium,0.88,100,20.5,Original country: Malaysia. Renamed generically for Indian audience.
IND_HENRY2021_610,Chikku,Chikku,Other,73.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",17.6,16.19,19.01,Medium,0.92,100,24.2,Computed carbs per 100 g using study portion: 29 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
WEST_IN_0226,Chilli Cheese Fries,Chilli Cheese Fries,Western foods (India) - Sides,64.0,Proxy GI anchor: french fries from International GI Tables (Atkinson 2008).,22.4,17.0,27.8,High,0.75,100,35.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: fries.
T4_0015,Chilli Chicken,Chilli chicken (dry),Mixed meals,38.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,3.42,1.92,4.92,Low,0.56,100,9.0,Sauce sugars vary.
T4_0014,Chilli Paneer,Chilli paneer (dry),Mixed meals,40.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,4.0,2.24,5.76,Low,0.56,100,10.0,Sauce sugars vary.
NONIND_0044,Chinese S Tea Med White Bun,Chinesesteamedwhitebun,Non-Indian reference food,58.0,Henry et al. GI tables (non-Indian cohort),33.0,29.7,36.2,High,0.88,100,56.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0019,Chinesecarrot Cake,Chinesecarrotcake,Non-Indian reference food,77.0,Henry et al. GI tables (non-Indian cohort),12.1,10.9,13.4,Medium,0.88,100,15.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0532,Chineseherbal Jelly,Chineseherbaljelly,Non-Indian reference food,47.0,Henry et al. GI tables (non-Indian cohort),7.1,6.4,7.8,Low,0.88,100,15.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0021,Chineseyam Cake,Chineseyamcake,Non-Indian reference food,86.0,Henry et al. GI tables (non-Indian cohort),11.0,9.9,12.1,Medium,0.88,100,12.8,Original country: Singapore. Renamed generically for Indian audience.
T2_0115,Chivda,"Chivda (poha mix, plain)",Snacks,65.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,35.75,27.89,43.62,High,0.78,100,55.0,Dry snack; recipe-based.
NONIND_0248,Chocochip Cookie S with Coconut Flour,Chocochipcookies+Coconutflour,Non-Indian reference food,61.3,Henry et al. GI tables (non-Indian cohort),12.3,11.0,13.5,Medium,0.88,100,20.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0252,Chococrinkles with Coconut Flour,Chococrinkles+Coconutflour,Non-Indian reference food,61.3,Henry et al. GI tables (non-Indian cohort),12.3,11.0,13.5,Medium,0.88,100,20.0,Original country: Philippines. Renamed generically for Indian audience.
T4_0123,Chocolate Bar,Chocolate bar,Sweets & desserts,70.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,42.0,21.0,63.0,High,0.5,100,60.0,Sugar dominant.
WEST_IN_0239,Chocolate Brownie,Chocolate Brownie,Western foods (India) - Desserts,67.7,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,30.5,22.3,38.7,High,0.68,100,45.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: brownie.
WEST_IN_0240,Chocolate Cake,Chocolate Cake,Western foods (India) - Desserts,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,32.8,24.0,41.6,High,0.68,100,48.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
WEST_IN_0241,Chocolate Chip Cookie,Chocolate Chip Cookie,Western foods (India) - Desserts,68.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,40.8,29.9,51.7,High,0.68,100,60.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cookie.
WEST_IN_0242,Chocolate Croissant,Chocolate Croissant,Western foods (India) - Desserts,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,32.8,24.0,41.6,High,0.68,100,48.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
T1_0830,Chocolate Made From Powder and Whole Milk,"Chocolate, made from powder and whole milk",Dairy,47.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #830",7.0,6.44,7.56,Low,0.92,100,16.0,Normalized to 100g from table serving 100g with 16g available carbs and GL 7.
T4_0095,Chocolate Milk,Chocolate milk,Beverages,65.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,7.8,4.37,11.23,Low,0.56,100,12.0,Sweetened milk.
T4_0042,Chocos with Milk,Chocos with milk,Breakfast cereals,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,17.6,9.86,25.34,Medium,0.56,100,22.0,High sugar cereal.
T2_0085,Chole,Chole (cooked),Pulses & legumes,33.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,5.28,4.54,6.02,Low,0.86,100,16.0,Cooked chickpeas.
T3_0030,Chole Bhature,Chole bhature,Mixed meals,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,21.0,13.65,28.35,High,0.65,100,28.0,Fried bread + chole; recipe-based.
T2_0102,Chole Chawal,"Chole chawal (1:1, cooked)",Mixed meals,60.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,12.0,9.36,14.64,Medium,0.78,100,20.0,Weighted GI method; recipe-based.
T3_0108,Chole Kulche,Chole kulche,Mixed meals,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.2,11.28,25.12,Medium,0.62,100,26.0,Refined bread + chole; recipe-based.
WEST_IN_0214,Chow Mein,Chow Mein,Western/Asian (India) - Noodles,41.2,Proxy GI anchor: cooked pasta from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,11.5,8.7,14.3,Medium,0.74,100,28.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: noodles_hakka.
T3_0149,Chowmein,"Chowmein (veg, Indian-style)",Mixed meals,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,15.4,9.24,21.56,Medium,0.6,100,22.0,Noodles; recipe-based.
NONIND_0218,Chromium Fortifiedpar Boiled Rice,Chromium-Fortifiedparboiledrice(Cr-Pr),Non-Indian reference food,29.0,Henry et al. GI tables (non-Indian cohort),10.4,9.4,11.5,Medium,0.88,100,36.0,Original country: Indonesia. Renamed generically for Indian audience.
WEST_IN_0243,Churros,Churros,Western foods (India) - Desserts,68.6,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,34.3,25.1,43.5,High,0.68,100,50.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: donut.
NONIND_0636,Cinnamon,Alphonseazeylanicalinn.(Yakinarang),Non-Indian reference food,52.0,Henry et al. GI tables (non-Indian cohort),20.8,18.7,22.9,High,0.88,100,40.0,Original country: SriLanka. Renamed generically for Indian audience.
WEST_IN_0244,Cinnamon Roll,Cinnamon Roll,Western foods (India) - Desserts,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,32.8,24.0,41.6,High,0.68,100,48.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
NONIND_0634,Clitoriaterna Tea Linn,Clitoriaternatealinn.(Elakatarolu),Non-Indian reference food,53.0,Henry et al. GI tables (non-Indian cohort),21.2,19.1,23.3,High,0.88,100,40.0,Original country: SriLanka. Renamed generically for Indian audience.
WEST_IN_0132,Club S and Wich,Club Sandwich,Western foods (India) - Sandwiches,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,24.9,18.8,31.0,High,0.74,100,35.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: club_sandwich.
T1_0166,Coarse Wheat Kernel Bread,"Coarse wheat kernel bread, 80%",Grains & staples,52.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #166",33.33,30.66,36.0,High,0.92,100,66.67,Normalized to 100g from table serving 30g with 20g available carbs and GL 10.
NONIND_0628,Coconut Milk Porridge,Coconutmilkporridge(Cocosnucifera),Non-Indian reference food,31.0,Henry et al. GI tables (non-Indian cohort),12.4,11.2,13.6,Medium,0.88,100,40.0,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0075,Coconut Milk Rice,Coconutmilkrice,Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),151.5,136.3,166.6,High,0.88,100,309.1,Original country: Malaysia. Renamed generically for Indian audience.
T3_0065,Coconut Rice,Coconut rice,Mixed meals,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,13.2,8.71,17.69,Medium,0.66,100,22.0,Seasoned rice; recipe-based.
NONIND_0299,Coconut Sapsugar,Coconutsapsugar(Pca),Non-Indian reference food,35.0,Henry et al. GI tables (non-Indian cohort),32.4,29.2,35.6,High,0.88,100,92.6,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0301,Coconut Sapsyrup,Coconutsapsyrup(E-Asia),Non-Indian reference food,39.0,Henry et al. GI tables (non-Indian cohort),29.5,26.6,32.5,High,0.88,100,75.8,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0564,Cocoyam Boiled,"Cocoyam,Boiled",Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),6.3,5.7,7.0,Low,0.88,100,10.4,Original country: WestIndia. Renamed generically for Indian audience.
T3_0135,Coffee,Coffee (with sugar),Beverages,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.0,4.2,7.8,Low,0.7,100,10.0,Sugar-sweetened coffee; estimate.
T4_0132,Coffee Frapp,Coffee frappé,Beverages,70.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,12.6,6.55,18.65,Medium,0.52,100,18.0,Sugar + milk.
WEST_IN_0263,Cold Coffee,Cold Coffee (unsweetened),Western foods (India) - Beverages,30.0,Proxy GI anchor: milk from International GI Tables (Atkinson 2008).,2.4,1.9,2.9,Low,0.78,100,8.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cold_coffee.
NONIND_0712,Commercialtamer,Commercialtamer(Dates),Non-Indian reference food,35.5,Henry et al. GI tables (non-Indian cohort),26.6,24.0,29.3,High,0.88,100,75.0,Original country: UnitedArab. Renamed generically for Indian audience.
T1_0134,Continental Fruit Loaf Wheat Bread,"Continental fruit loaf, wheat bread",Grains & staples,47.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #134",23.33,21.46,25.2,High,0.92,100,50.0,Normalized to 100g from table serving 30g with 15g available carbs and GL 7.
NONIND_0098,Controlbiscuits with Outpleurotussajor,Controlbiscuitswithoutpleurotussajor-,Non-Indian reference food,57.2,Henry et al. GI tables (non-Indian cohort),18.8,16.9,20.7,Medium,0.88,100,32.9,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0438,Cooked Millet,Cookedmillet,Non-Indian reference food,64.4,Henry et al. GI tables (non-Indian cohort),19.1,17.1,21.0,Medium,0.88,100,29.6,Original country: China. Renamed generically for Indian audience.
NONIND_0408,Cooked Rice,Cookedrice,Non-Indian reference food,83.2,Henry et al. GI tables (non-Indian cohort),20.0,18.0,22.0,Medium,0.88,100,24.0,Original country: China. Renamed generically for Indian audience.
NONIND_0462,Cooked Rice with Cooked Egg Plant,Cookedrice+Cookedeggplant,Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),54.2,48.8,59.7,High,0.88,100,80.9,Original country: China. Renamed generically for Indian audience.
NONIND_0459,Cooked Rice with Cookedcauliflower,Cookedrice+Cookedcauliflower,Non-Indian reference food,73.0,Henry et al. GI tables (non-Indian cohort),56.1,50.5,61.7,High,0.88,100,76.9,Original country: China. Renamed generically for Indian audience.
