food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,gl_median_portion,gl_min_portion,gl_max_portion,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max
NONIND_0413,Cornpowder Porridge,Cornpowderporridge,Non-Indian reference food,portion,105,150,195,0.5,68,Henry et al. GI tables (non-Indian cohort),9.07,9.07,9.07,Low,0.88,13.33333333,Original country: China. Renamed generically for Indian audience.,13.33333333,9.07,9.07,9.07,100,portion_100g,9.07,9.07,9.07,13.33,13.33,13.33
NONIND_0162,Cowpea,Cowpea(Vignasinensisendl.),Non-Indian reference food,portion,105,150,195,0.5,35,Henry et al. GI tables (non-Indian cohort),4.48,4.48,4.48,Low,0.88,12.8,Original country: Indonesia. Renamed generically for Indian audience.,12.8,4.48,4.48,4.48,100,portion_100g,4.48,4.48,4.48,12.8,12.8,12.8
T4_0086,Cream of Spinach Soup,Cream of spinach soup,Mixed meals,portion,105,150,195,0.5,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.56,4,"Low carb. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",4,0,0,0,100,portion_100g,0,0,0,4,4,4
WEST_IN_0245,Crepe,Crepe,Western foods (India) - Desserts,piece,52,70,88,0.55,68.6,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,34.3,34.3,34.3,High,0.68,50,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: pancake.,50,34.3,34.3,34.3,100,portion_100g,34.3,34.3,34.3,50,50,50
NONIND_0750,Croissant,Croissantwithwater,Non-Indian reference food,portion,105,150,195,0.5,67.5,Henry et al. GI tables (non-Indian cohort),9,9,9,Low,0.88,13.33333333,Original country: Oman. Renamed generically for Indian audience.,13.33333333,9,9,9,100,portion_100g,9,9,9,13.33,13.33,13.33
T4_0059,Cup Cake,Cupcake,Sweets & desserts,piece,60,80,100,0.75,78,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,40.95,40.95,40.95,High,0.54,52.5,Refined flour + sugar.,52.5,40.95,40.95,40.95,100,portion_100g,40.95,40.95,40.95,52.5,52.5,52.5
T4_0040,Cup Noodles,Cup noodles,Mixed meals,bowl,188,250,312,0.7,72,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,6.34,6.34,6.34,Low,0.54,8.8,Brand variability.,8.8,6.34,6.34,6.34,100,portion_100g,6.34,6.34,6.34,8.8,8.8,8.8
T3_0143,Curd,Curd (plain dahi),Dairy,katori,120,150,180,0.85,20,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,0.47,0.47,0.47,Low,0.75,2.333333333,Low carbs.,2.333333333,0.47,0.47,0.47,100,portion_100g,0.47,0.47,0.47,2.33,2.33,2.33
T2_0076,Curd Rice,Curd rice,Mixed meals,plate,120,150,180,0.85,46,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.21,7.36,9.2,Low,0.79,13.33333333,Dairy lowers GI; recipe-based.,13.33333333,6.13,6.13,6.13,100,cooked_rice_nin_cup_200ml,6.13,6.13,6.13,17.87,16,20
NONIND_0026,Curry Puff,Currypuff,Non-Indian reference food,katori,120,150,180,0.7,41,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.88,25.73333333,Original country: Singapore. Renamed generically for Indian audience.,25.73333333,10.55,10.55,10.55,100,dal_katori_default,21.1,16.88,25.32,51.47,41.17,61.76
NONIND_0720,Dabbas,Dabbas(Dates),Non-Indian reference food,portion,105,150,195,0.5,49.1,Henry et al. GI tables (non-Indian cohort),21.47,21.47,21.47,High,0.88,43.73333333,Original country: UnitedArab. Renamed generically for Indian audience.,43.73333333,21.47,21.47,21.47,100,portion_100g,21.47,21.47,21.47,43.73,43.73,43.73
T2_0119,Dabeli,Dabeli (normalized to 100 g),Snacks,handful,15,25,35,0.5,75,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,75,75,75,High,0.78,100,Bread + potato + chutney; recipe-based.,100,75,75,75,100,portion_100g,75,75,75,100,100,100
T3_0110,Dahi Vada,Dahi vada,Snacks,katori,120,150,180,0.85,55,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.6,6.6,6.6,Low,0.62,12,Curd + fried vada; recipe-based.,12,6.6,6.6,6.6,100,portion_100g,6.6,6.6,6.6,12,12,12
T3_0147,Dal Fry,Dal fry,Mixed meals,katori,120,150,180,0.8,45,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,8.4,6.72,10.08,Low,0.72,9.333333333,Lentil curry; recipe-based.,9.333333333,4.2,4.2,4.2,100,dal_katori_default,8.4,6.72,10.08,18.67,14.93,22.4
T3_0001,Dal Makhani,Dal makhani,Mixed meals,katori,120,150,180,0.8,45,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6,4.8,7.2,Low,0.74,6.666666667,Black gram + butter/cream; carbs moderate per 100g.,6.666666667,3,3,3,100,dal_katori_default,6,4.8,7.2,13.33,10.67,16
T3_0037,Dal Rice,Dal rice,Mixed meals,plate,120,150,180,0.85,58,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,17.02,13.62,20.42,Medium,0.66,14.66666667,Rice + dal; weighted method.,14.66666667,8.51,8.51,8.51,100,dal_katori_default,17.02,13.62,20.42,29.33,23.47,35.2
T2_0083,Dal Tadka,Dal tadka (restaurant-style),Mixed meals,katori,120,150,180,0.8,40,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,7.46,5.97,8.95,Low,0.8,9.333333333,Fat doesn’t change carbs much; estimated.,9.333333333,3.73,3.73,3.73,100,dal_katori_default,7.46,5.97,8.95,18.67,14.93,22.4
IND_HENRY2021_675,Dalia,Dalia,Pulses & legumes,katori,120,150,180,0.55,38,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 137; n=10 Healthy; ref food/time: Glucose/2h 10gmoongdal participants 280mlwater; portion 10 g provides 50 g available carbs (table page 23).",76,60.8,91.2,High,0.92,100,Computed carbs per 100 g using study portion: 50 g available carbs in 10 g portion. GI SEM/SD reported: 27.04.,100,38,38,38,100,dal_katori_default,76,60.8,91.2,200,160,240
T2_0054,Dalia Cooked,Dalia (broken wheat) cooked,Grains & staples,plate,120,150,180,0.55,55,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.14,12.91,19.37,Medium,0.86,14.66666667,Cooked broken wheat.,14.66666667,8.07,8.07,8.07,100,dal_katori_default,16.14,12.91,19.37,29.33,23.47,35.2
T2_0055,Dalia Porridge,Dalia porridge (plain),Grains & staples,plate,120,150,180,0.55,50,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8,6.4,9.6,Low,0.84,8,Diluted porridge; lower GL per 100g.,8,4,4,4,100,dal_katori_default,8,6.4,9.6,16,12.8,19.2
T3_0040,Daliya Khichdi,Daliya khichdi,Mixed meals,katori,144,180,216,0.75,55,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,11,8.8,13.2,Medium,0.7,10,Broken wheat + dal; recipe-based.,10,5.5,5.5,5.5,100,dal_katori_default,11,8.8,13.2,20,16,24
WEST_IN_0247,Danish Pastry,Danish Pastry,Western foods (India) - Desserts,piece,60,80,100,0.75,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,40.98,40.98,40.98,High,0.68,60,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.,60,40.98,40.98,40.98,100,portion_100g,40.98,40.98,40.98,60,60,60
NONIND_0563,Dasheen Boiled,"Dasheen,Boiled",Non-Indian reference food,portion,105,150,195,0.5,72,Henry et al. GI tables (non-Indian cohort),8.59,8.59,8.59,Low,0.88,11.93333333,Original country: WestIndia. Renamed generically for Indian audience.,11.93333333,8.59,8.59,8.59,100,portion_100g,8.59,8.59,8.59,11.93,11.93,11.93
T4_0135,Dessert Platter,Dessert platter,Sweets & desserts,piece,52,70,88,0.55,75,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,42.86,42.86,42.86,High,0.5,57.14285714,Multiple desserts.,57.14285714,42.86,42.86,42.86,100,portion_100g,42.86,42.86,42.86,57.14,57.14,57.14
T2_0093,Dhokla,Dhokla,Snacks,handful,15,25,35,0.5,35,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,25.2,25.2,25.2,High,0.82,72,Fermented gram snack; estimated.,72,25.2,25.2,25.2,100,portion_100g,25.2,25.2,25.2,72,72,72
IND_HENRY2021_705,Dia Blissherbalsugar,Dia Blissherbalsugar (DHS),Other,portion,105,150,195,0.5,46.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 145; n=16 Healthy; ref food/time: Glucose/2h participants; portion 50 g provides 50 g available carbs (table page 24).",31,31,31,High,0.9,66.66666667,Computed carbs per 100 g using study portion: 50 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.,66.66666667,31,31,31,100,portion_100g,31,31,31,66.67,66.67,66.67
NONIND_0543,Doll Fried Noodles,Dollfriednoodles,Non-Indian reference food,bowl,188,250,312,0.7,88,Henry et al. GI tables (non-Indian cohort),16.72,16.72,16.72,Medium,0.88,19,Original country: HongKong. Renamed generically for Indian audience.,19,16.72,16.72,16.72,100,portion_100g,16.72,16.72,16.72,19,19,19
WEST_IN_0248,Donut,Donut (chocolate),Western foods (India) - Desserts,piece,52,70,88,0.8,68.6,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,49,49,49,High,0.68,71.42857143,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: donut.,71.42857143,49,49,49,100,portion_100g,49,49,49,71.43,71.43,71.43
NONIND_0177,Donut Made with Rice Bran,Donutmadewithricebran,Non-Indian reference food,plate,120,150,180,0.85,39,Henry et al. GI tables (non-Indian cohort),14.63,13.1,16.38,Medium,0.88,28,Original country: Indonesia. Renamed generically for Indian audience.,28,10.92,10.92,10.92,100,cooked_rice_nin_cup_200ml,10.92,10.92,10.92,37.52,33.6,42
NONIND_0265,Donut Sugarc Oat Ed,"Donut,Sugarcoated",Non-Indian reference food,piece,52,70,88,0.8,70,Henry et al. GI tables (non-Indian cohort),45.9,45.9,45.9,High,0.88,65.57142857,Original country: Philippines. Renamed generically for Indian audience.,65.57142857,45.9,45.9,45.9,100,portion_100g,45.9,45.9,45.9,65.57,65.57,65.57
T1_0552,Doongara White Cooked in Rice Cooker,"Doongara, white, cooked in rice cooker (2007)",Grains & staples,plate,120,150,180,0.85,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",11.15,9.98,12.48,Medium,0.92,17.33333333,Normalized to 100g from table serving 150g with 39g available carbs and GL 19.,17.33333333,8.32,8.32,8.32,100,cooked_rice_nin_cup_200ml,8.32,8.32,8.32,23.23,20.8,26
IND_HENRY2021_688,Dosa,Dosa,Breads & fermented,piece,90,120,150,0.75,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",15.51,6.79,30.05,Medium,0.92,34.75,Computed carbs per 100 g using study portion: 50 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.,34.75,19.39,19.39,19.39,100,dosa_small_medium_large,15.51,6.79,30.05,27.8,12.16,53.86
T3_0046,Dosa Sambar,Dosa sambar,Mixed meals,piece,90,120,150,0.75,65,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,3.41,15.11,Low,0.68,15,Dosa + sambar; weighted estimate.,15,9.75,9.75,9.75,100,dosa_small_medium_large,7.8,3.41,15.11,12,5.25,23.25
NONIND_0748,Doughnut,Doughnutwithwater,Non-Indian reference food,piece,52,70,88,0.8,75.5,Henry et al. GI tables (non-Indian cohort),21.57,21.57,21.57,High,0.88,28.57142857,Original country: Oman. Renamed generically for Indian audience.,28.57142857,21.57,21.57,21.57,100,portion_100g,21.57,21.57,21.57,28.57,28.57,28.57
NONIND_0746,Dried Bisr Dates,Dried Bisr(matureunripe)dates,Non-Indian reference food,portion,105,150,195,0.5,54.6,Henry et al. GI tables (non-Indian cohort),21.84,21.84,21.84,High,0.88,40,Original country: UnitedArab. Renamed generically for Indian audience.,40,21.84,21.84,21.84,100,portion_100g,21.84,21.84,21.84,40,40,40
NONIND_0747,Dried Tamr Dates,Dried Tamr(matureripe)dates,Non-Indian reference food,portion,105,150,195,0.5,54.3,Henry et al. GI tables (non-Indian cohort),21.72,21.72,21.72,High,0.88,40,Original country: UnitedArab. Renamed generically for Indian audience.,40,21.72,21.72,21.72,100,portion_100g,21.72,21.72,21.72,40,40,40
NONIND_0444,Driedapples,Driedapples,Non-Indian reference food,portion,105,150,195,0.5,43,Henry et al. GI tables (non-Indian cohort),18.66,18.66,18.66,Medium,0.88,43.4,Original country: China. Renamed generically for Indian audience.,43.4,18.66,18.66,18.66,100,portion_100g,18.66,18.66,18.66,43.4,43.4,43.4
NONIND_0448,Driedapples with Rice,Driedapples+Rice,Non-Indian reference food,plate,120,150,180,0.85,65,Henry et al. GI tables (non-Indian cohort),75.6,67.7,84.63,High,0.88,86.8,Original country: China. Renamed generically for Indian audience.,86.8,56.42,56.42,56.42,100,cooked_rice_nin_cup_200ml,56.42,56.42,56.42,116.31,104.16,130.2
NONIND_0453,Driedapples with Rice with Almonds,Driedapples+Rice+Almonds,Non-Indian reference food,plate,120,150,180,0.85,60,Henry et al. GI tables (non-Indian cohort),72.57,64.99,81.24,High,0.88,90.26666667,Original country: China. Renamed generically for Indian audience.,90.26666667,54.16,54.16,54.16,100,cooked_rice_nin_cup_200ml,54.16,54.16,54.16,120.96,108.32,135.4
NONIND_0446,Driedapricots,Driedapricots,Non-Indian reference food,portion,105,150,195,0.5,56,Henry et al. GI tables (non-Indian cohort),20.65,20.65,20.65,High,0.88,36.86666667,Original country: China. Renamed generically for Indian audience.,36.86666667,20.65,20.65,20.65,100,portion_100g,20.65,20.65,20.65,36.87,36.87,36.87
NONIND_0450,Driedapricots with Rice,Driedapricots+Rice,Non-Indian reference food,plate,120,150,180,0.85,75,Henry et al. GI tables (non-Indian cohort),74.1,66.36,82.95,High,0.88,73.73333333,Original country: China. Renamed generically for Indian audience.,73.73333333,55.3,55.3,55.3,100,cooked_rice_nin_cup_200ml,55.3,55.3,55.3,98.8,88.48,110.6
NONIND_0455,Driedapricots with Rice with Almonds,Driedapricots+Rice+Almonds,Non-Indian reference food,plate,120,150,180,0.85,64,Henry et al. GI tables (non-Indian cohort),65.75,58.88,73.61,High,0.88,76.66666667,Original country: China. Renamed generically for Indian audience.,76.66666667,49.07,49.07,49.07,100,cooked_rice_nin_cup_200ml,49.07,49.07,49.07,102.73,92,115
NONIND_0746,Driedbisr Dates,Driedbisr(Matureunripe)Dates,Non-Indian reference food,portion,105,150,195,0.5,54.6,Henry et al. GI tables (non-Indian cohort),21.84,21.84,21.84,High,0.88,40,Original country: UnitedArab. Renamed generically for Indian audience.,40,21.84,21.84,21.84,100,portion_100g,21.84,21.84,21.84,40,40,40
NONIND_0445,Driedjujubes,Driedjujubes,Non-Indian reference food,portion,105,150,195,0.5,55,Henry et al. GI tables (non-Indian cohort),21.82,21.82,21.82,High,0.88,39.66666667,Original country: China. Renamed generically for Indian audience.,39.66666667,21.82,21.82,21.82,100,portion_100g,21.82,21.82,21.82,39.67,39.67,39.67
NONIND_0449,Driedjujubes with Rice,Driedjujubes+Rice,Non-Indian reference food,plate,120,150,180,0.85,77,Henry et al. GI tables (non-Indian cohort),81.86,73.31,91.64,High,0.88,79.33333333,Original country: China. Renamed generically for Indian audience.,79.33333333,61.09,61.09,61.09,100,cooked_rice_nin_cup_200ml,61.09,61.09,61.09,106.31,95.2,119
NONIND_0454,Driedjujubes with Rice with Almonds,Driedjujubes+Rice+Almonds,Non-Indian reference food,plate,120,150,180,0.85,52,Henry et al. GI tables (non-Indian cohort),57.51,51.5,64.38,High,0.88,82.53333333,Original country: China. Renamed generically for Indian audience.,82.53333333,42.92,42.92,42.92,100,cooked_rice_nin_cup_200ml,42.92,42.92,42.92,110.59,99.04,123.8
NONIND_0747,Driedtamr Dates,Driedtamr(Matureripe)Dates,Non-Indian reference food,portion,105,150,195,0.5,54.3,Henry et al. GI tables (non-Indian cohort),21.72,21.72,21.72,High,0.88,40,Original country: UnitedArab. Renamed generically for Indian audience.,40,21.72,21.72,21.72,100,portion_100g,21.72,21.72,21.72,40,40,40
NONIND_0422,Dumpling,Dumpling(Shallot+Meat),Non-Indian reference food,portion,105,150,195,0.5,28,Henry et al. GI tables (non-Indian cohort),3.73,3.73,3.73,Low,0.88,13.33333333,Original country: China. Renamed generically for Indian audience.,13.33333333,3.73,3.73,3.73,100,portion_100g,3.73,3.73,3.73,13.33,13.33,13.33
T1_0610,Durum Wheat Precooked Cooked,"Durum wheat, precooked, cooked",Grains & staples,plate,120,150,180,0.55,20,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #610",9.87,9.87,9.87,Low,0.92,49.33333333,Normalized to 100g from table serving 50g with 37g available carbs and GL 19.,49.33333333,9.87,9.87,9.87,100,portion_100g,9.87,9.87,9.87,49.33,49.33,49.33
T1_0612,Durum Wheat Precooked in Pouch,"Durum wheat, precooked in pouch",Grains & staples,plate,120,150,180,0.55,40,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #612",8.32,8.32,8.32,Low,0.92,20.8,Normalized to 100g from table serving 125g with 39g available carbs and GL 16.,20.8,8.32,8.32,8.32,100,portion_100g,8.32,8.32,8.32,20.8,20.8,20.8
WEST_IN_0250,Eclair,Eclair,Western foods (India) - Desserts,piece,52,70,88,0.55,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,46.83,46.83,46.83,High,0.68,68.57142857,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.,68.57142857,46.83,46.83,46.83,100,portion_100g,46.83,46.83,46.83,68.57,68.57,68.57
NONIND_0164,Ediblepoddedpeas,Ediblepoddedpeas(Pisumsativumlinn.),Non-Indian reference food,portion,105,150,195,0.5,30,Henry et al. GI tables (non-Indian cohort),2.8,2.8,2.8,Low,0.88,9.333333333,Original country: Indonesia. Renamed generically for Indian audience.,9.333333333,2.8,2.8,2.8,100,portion_100g,2.8,2.8,2.8,9.33,9.33,9.33
T4_0072,Egg Bhurji,Egg bhurji,Mixed meals,portion,105,150,195,0.5,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.58,2,"Low carb egg dish. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",2,0,0,0,100,portion_100g,0,0,0,2,2,2
T3_0022,Egg Curry,Egg curry,Mixed meals,katori,120,150,180,0.7,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.74,2,"Low carbs; GI negligible. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",2,0,0,0,100,dal_katori_default,0,0,0,4,3.2,4.8
T4_0022,Egg Fried Rice,Egg fried rice,Mixed meals,plate,200,250,300,0.75,68,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,9.11,8.16,10.2,Low,0.55,10,Rice dominant.,10,6.8,6.8,6.8,100,cooked_rice_nin_cup_200ml,6.8,6.8,6.8,13.4,12,15
NONIND_0525,Egg Tart,Eggtart,Non-Indian reference food,portion,105,150,195,0.5,45,Henry et al. GI tables (non-Indian cohort),10.5,10.5,10.5,Medium,0.88,23.33333333,Original country: Hong. Renamed generically for Indian audience.,23.33333333,10.5,10.5,10.5,100,portion_100g,10.5,10.5,10.5,23.33,23.33,23.33
T4_0045,Energy Bar,Energy bar (Indian),Snacks,handful,15,25,35,0.5,65,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,65,65,65,High,0.54,100,Highly variable.,100,65,65,65,100,portion_100g,65,65,65,100,100,100
T4_0052,Energy Drink,Energy drink,Beverages,glass,200,250,300,0.6,75,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,6.6,6.6,6.6,Low,0.56,4.4,Sugar-based.,4.4,3.3,3.3,3.3,100,glass_200ml,6.6,6.6,6.6,8.8,8.8,8.8
T4_0126,Energy Gel,Energy gel,Beverages,glass,200,250,300,0.6,90,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,50.4,50.4,50.4,High,0.48,28,Sports gel; pure carbs.,28,25.2,25.2,25.2,100,glass_200ml,50.4,50.4,50.4,56,56,56
NONIND_0254,Europeancarrot Cake with Coconut Flour,Europeancarrotcake+Coconutflour,Non-Indian reference food,piece,60,80,100,0.75,51.8,Henry et al. GI tables (non-Indian cohort),12.95,12.95,12.95,Medium,0.88,25,Original country: Philippines. Renamed generically for Indian audience.,25,12.95,12.95,12.95,100,portion_100g,12.95,12.95,12.95,25,25,25
IND_HENRY2021_681,Extrudedsnack,"Extrudedsnack (whole-wheat flour,barleyand",Grains & staples,plate,120,150,180,0.55,48.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 140; n=10 Healthy; ref food/time: Glucose/2h chickpea,50:25:25) participants; portion 67.5 g provides 50 g available carbs (table page 23).",24.11,24.11,24.11,High,0.9,49.4,Computed carbs per 100 g using study portion: 50 g available carbs in 67.5 g portion. GI variability (SEM/SD) not reported in row.,49.4,24.11,24.11,24.11,100,portion_100g,24.11,24.11,24.11,49.4,49.4,49.4
T3_0083,Fafda,Fafda,Snacks,handful,15,25,35,0.5,70,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,70,70,70,High,0.62,100,Dry fried besan; carb-dense per 100g.,100,70,70,70,100,portion_100g,70,70,70,100,100,100
T4_0009,Falafel Wrap,Falafel wrap,Mixed meals,portion,154,220,286,0.7,55,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,6.25,6.25,6.25,Low,0.55,11.36363636,Fried chickpea balls + bread.,11.36363636,6.25,6.25,6.25,100,portion_100g,6.25,6.25,6.25,11.36,11.36,11.36
T4_0138,Falooda,Falooda,Sweets & desserts,piece,52,70,88,0.55,75,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,37.5,37.5,37.5,High,0.5,50,Noodles + syrup.,50,37.5,37.5,37.5,100,portion_100g,37.5,37.5,37.5,50,50,50
NONIND_0715,Fara,Fara’D(Dates),Non-Indian reference food,portion,105,150,195,0.5,46.1,Henry et al. GI tables (non-Indian cohort),21.21,21.21,21.21,High,0.88,46,Original country: UnitedArab. Renamed generically for Indian audience.,46,21.21,21.21,21.21,100,portion_100g,21.21,21.21,21.21,46,46,46
T4_0144,Farsan Mix,Farsan mix,Snacks,handful,15,25,35,0.5,70,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,70,70,70,High,0.5,100,Fried gram snacks.,100,70,70,70,100,portion_100g,70,70,70,100,100,100
NONIND_0784,Fattithommos,Fattithommos,Non-Indian reference food,portion,105,150,195,0.5,37.2,Henry et al. GI tables (non-Indian cohort),5.51,5.51,5.51,Low,0.88,14.8,Original country: Lebanon. Renamed generically for Indian audience.,14.8,5.51,5.51,5.51,100,portion_100g,5.51,5.51,5.51,14.8,14.8,14.8
NONIND_0733,Fendal,Fendal,Non-Indian reference food,portion,105,150,195,0.5,74,Henry et al. GI tables (non-Indian cohort),31.18,24.94,37.42,High,0.88,21.06666667,Original country: UnitedArab. Renamed generically for Indian audience.,21.06666667,15.59,15.59,15.59,100,dal_katori_default,31.18,24.94,37.42,42.13,33.71,50.56
T4_0106,Festival Meal,Festival meal (Indian),Mixed meals,portion,105,150,195,0.5,65,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,13,13,13,Medium,0.5,20,Extremely variable.,20,13,13,13,100,portion_100g,13,13,13,20,20,20
NONIND_0382,Fine Noodles,Finenoodles,Non-Indian reference food,bowl,188,250,312,0.7,49,Henry et al. GI tables (non-Indian cohort),14.9,14.9,14.9,Medium,0.88,30.4,Original country: Korea. Renamed generically for Indian audience.,30.4,14.9,14.9,14.9,100,portion_100g,14.9,14.9,14.9,30.4,30.4,30.4
T3_0021,Fish Curry,Fish curry (home-style),Mixed meals,katori,120,150,180,0.7,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.75,1.333333333,"Very low carbs; GI negligible. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",1.333333333,0,0,0,100,dal_katori_default,0,0,0,2.67,2.13,3.2
WEST_IN_0227,Fish Fingers,Fish Fingers,Western foods (India) - Sides,portion,105,150,195,0.5,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.75,10,"Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: nuggets. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",10,0,0,0,100,portion_100g,0,0,0,10,10,10
